ocn1	relation	subject_type	subject_id	date	games	source_ref	evidence_grade	note
A.Hor.Fch.MLn.Bg5.Be7.Nf3	wch-game	event	wch-1886-steinitz-zukertort	1886	1	Zukertort, Johannes-Steinitz, Wilhelm, World Championship 1st, New Orleans wch-m, 1886	attested	
C.Pet.Thr.Fou.Gun	wch-game	event	wch-1886-steinitz-zukertort	1886	1	Zukertort, Johannes-Steinitz, Wilhelm, World Championship 1st, New Orleans wch-m, 1886	attested	
C.RyL.Ber.O-O.Nxe4	wch-game	event	wch-1886-steinitz-zukertort	1886	4	Steinitz, Wilhelm-Zukertort, Johannes, Steinitz - Zukertort World Championship Match, New Orleans, LA USA, 1886	attested	
C.RyL.Ber.d3.d6	wch-game	event	wch-1886-steinitz-zukertort	1886	2	Steinitz, Wilhelm-Zukertort, Johannes, World Championship 1st, New Orleans wch-m, 1886	attested	
C.Sco.Mie.Ste	wch-game	event	wch-1886-steinitz-zukertort	1886	1	Steinitz, Wilhelm-Zukertort, Johannes, World Championship 1st, USA, 1886	attested	
C.Vie.Nc6.f4.exf4.d4	wch-game	event	wch-1886-steinitz-zukertort	1886	1	Steinitz, Wilhelm-Zukertort, Johannes, Steinitz - Zukertort World Championship Match, New Orleans, LA USA, 1886	attested	
D.QGD.Cls	wch-game	event	wch-1886-steinitz-zukertort	1886	1	Zukertort, Johannes-Steinitz, Wilhelm, World Championship 1st, New Orleans wch-m, 1886	attested	
D.QGD.Mod.PTr	wch-game	event	wch-1886-steinitz-zukertort	1886	1	Zukertort, Johannes-Steinitz, Wilhelm, Steinitz - Zukertort World Championship Match, New Orleans, LA USA, 1886	attested	
D.QGD.QKn.Nrm.Har	wch-game	event	wch-1886-steinitz-zukertort	1886	1	Zukertort, Johannes-Steinitz, Wilhelm, World Championship 1st, New Orleans wch-m, 1886	attested	
D.QGD.Vie.e3	wch-game	event	wch-1886-steinitz-zukertort	1886	1	Zukertort, Johannes-Steinitz, Wilhelm, World Championship 1st, New Orleans, LA USA, 1886	attested	
D.Sla	wch-game	event	wch-1886-steinitz-zukertort	1886	1	Zukertort, Johannes-Steinitz, Wilhelm, World Championship 1st, New York wch-m, 1886	attested	
D.Sla.Stn	wch-game	event	wch-1886-steinitz-zukertort	1886	1	Zukertort, Johannes-Steinitz, Wilhelm, World Championship 1st, USA, 1886	attested	
D.Tar.e3.Nf6.Nf3.Nc6	wch-game	event	wch-1886-steinitz-zukertort	1886	1	Zukertort, Johannes-Steinitz, Wilhelm, World Championship 1st, St.Louis wch-m, 1886	attested	
C.Ita.Evn.Acc.Stn.O-O	wch-game	event	wch-1890-gunsberg-steinitz	1890	1	Gunsberg, Isidor-Steinitz, Wilhelm, World Championship 3rd, New York, NY USA, 1890	attested	
C.Ita.Giu.c3.Nf6.d3.d6	wch-game	event	wch-1890-gunsberg-steinitz	1890	1	Gunsberg, Isidor-Steinitz, Wilhelm, World Championship 3rd, New York, NY USA, 1890	attested	
C.Ita.Pia.Nf6	wch-game	event	wch-1890-gunsberg-steinitz	1890	1	Gunsberg, Isidor-Steinitz, Wilhelm, World Championship 3rd, New York, NY USA, 1890	attested	
D.QGA.Nf3.Nf6.e3.e6	wch-game	event	wch-1890-gunsberg-steinitz	1890	1	Steinitz, Wilhelm-Gunsberg, Isidor, World Championship 3rd, New York, NY USA, 1890	attested	
D.Rub.Nc6.O-O	wch-game	event	wch-1890-gunsberg-steinitz	1890	1	Gunsberg, Isidor-Steinitz, Wilhelm, World Championship 3rd, New York, NY USA, 1890	attested	
A.Hor.Fch.MLn.Nf3.Be7.e3	wch-game	event	wch-1891-gunsberg-steinitz	1891	2	Steinitz, Wilhelm-Gunsberg, Isidor, World Championship 3rd, New York, NY USA, 1891	attested	
C.Ita.Evn.Acc.Stn.O-O	wch-game	event	wch-1891-gunsberg-steinitz	1891	3	Gunsberg, Isidor-Steinitz, Wilhelm, World Championship 3rd, New York, NY USA, 1891	attested	
C.Ita.Giu.c3.Nf6.d3.d6	wch-game	event	wch-1891-gunsberg-steinitz	1891	1	Gunsberg, Isidor-Steinitz, Wilhelm, World Championship 3rd, New York, NY USA, 1891	attested	
D.QGD.Mar.MLn	wch-game	event	wch-1891-gunsberg-steinitz	1891	1	Steinitz, Wilhelm-Gunsberg, Isidor, World Championship 3rd, New York, NY USA, 1891	attested	
E.Ind.e6.Nf3.d5.e3.Bb7	wch-game	event	wch-1891-gunsberg-steinitz	1891	1	Steinitz, Wilhelm-Gunsberg, Isidor, World Championship 3rd, New York, NY USA, 1891	attested	
A.Hor.Fch.MLn.Nf3.Be7.e3	wch-game	event	wch-1894-lasker-steinitz	1894	2	Lasker, Emanuel-Steinitz, Wilhelm, World Championship 5th, Montreal wch-m, 1894	attested	
B.Fre.Rub.MLn.Nf6	wch-game	event	wch-1894-lasker-steinitz	1894	1	Steinitz, Wilhelm-Lasker, Emanuel, World Championship 5th, New York wch-m, 1894	attested	
C.Ita.Giu.Grc.MLn	wch-game	event	wch-1894-lasker-steinitz	1894	1	Steinitz, Wilhelm-Lasker, Emanuel, World Championship 5th, New York wch-m, 1894	attested	
C.Ita.Pia.Nf6.Ita	wch-game	event	wch-1894-lasker-steinitz	1894	1	Lasker, Emanuel-Steinitz, Wilhelm, World Championship 5th, Montreal wch-m, 1894	attested	
C.RyL.Ber.d3.d6	wch-game	event	wch-1894-lasker-steinitz	1894	1	Steinitz, Wilhelm-Lasker, Emanuel, World Championship 5th, New York wch-m, 1894	attested	
C.RyL.Stn	wch-game	event	wch-1894-lasker-steinitz	1894	1	Lasker, Emanuel-Steinitz, Wilhelm, World Championship 5th, Philadelphia wch-m, 1894	attested	
C.RyL.Stn.d4.Bd7	wch-game	event	wch-1894-lasker-steinitz	1894	3	Lasker, Emanuel-Steinitz, Wilhelm, World Championship 5th, New York wch-m, 1894	attested	
D.QGD.Cls.Nf3.Nbd7	wch-game	event	wch-1894-lasker-steinitz	1894	1	Steinitz, Wilhelm-Lasker, Emanuel, World Championship 5th, Montreal wch-m, 1894	attested	
D.QGD.Ort.Hne.Bxe7.Qxe7	wch-game	event	wch-1894-lasker-steinitz	1894	1	Steinitz, Wilhelm-Lasker, Emanuel, World Championship 5th, Montreal wch-m, 1894	attested	
D.QGD.QKn.Nrm	wch-game	event	wch-1894-lasker-steinitz	1894	1	Steinitz, Wilhelm-Lasker, Emanuel, World Championship 5th, Philadelphia wch-m, 1894	attested	
A.Hor.Fch.MLn.Bg5.Be7	wch-game	event	wch-1896-lasker-steinitz	1896	4	Steinitz, Wilhelm-Lasker, Emanuel, World Championship 6th, Moskou wch-m, 1896	attested	
C.Ita.Giu.Mol.MLn.Stn	wch-game	event	wch-1896-lasker-steinitz	1896	1	Steinitz, Wilhelm-Lasker, Emanuel, World Championship 6th, Moskou wch-m, 1896	attested	
C.Ita.Pia.Nf6.Ita	wch-game	event	wch-1896-lasker-steinitz	1896	1	Lasker, Emanuel-Steinitz, Wilhelm, World Championship 6th, Moskou wch-m, 1896	attested	
C.RyL.ClD.c3	wch-game	event	wch-1896-lasker-steinitz	1896	2	Lasker, Emanuel-Steinitz, Wilhelm, World Championship 6th, Moskou wch-m, 1896	attested	
C.RyL.Exc.dxc6.Nc3	wch-game	event	wch-1896-lasker-steinitz	1896	1	Lasker, Emanuel-Steinitz, Wilhelm, World Championship 6th, Moskou wch-m, 1896	attested	
