ocn1	ocn_class	eco_codes	family_head	rationale_ref
E.Ben	E	A57|A58|A59|A60|A61|A62|A63|A64|A65|A66|A67|A68|A69|A70|A71|A72|A73|A74|A75|A76|A77|A78|A79	E.Ben	indians-e
E.Ben.Mod	E	A60|A61|A62|A63|A64|A65|A66|A67|A68|A69|A70|A71|A72|A73|A74|A75|A76|A77|A78|A79	E.Ben	indians-e
E.Ben.Bnk	E	A57|A58|A59	E.Ben	indians-e
E.Ben.Czk	E	A56	E.Ben	indians-e
A.Lon	A	D02	A.Lon	london-colle-a
B.Fre	B	C00|C01|C02|C03|C04|C05|C06|C07|C08|C09|C10|C11|C12|C13|C14|C15|C16|C17|C18|C19	B.Fre	french-b
B.Fre.Win	B	C15|C16|C17|C18|C19	B.Fre	french-b
B.Fre.Tar	B	C03|C04|C05|C06|C07|C08|C09	B.Fre	french-b
B.Fre.Adv	B	C02	B.Fre	french-b
B.Fre.Cls	B	C13|C14	B.Fre	french-b
B.Fre.Exc	B	C01	B.Fre	french-b
D.Cat	D	E00|E01|E02|E03|E04|E05|E06|E07|E08|E09	D.Cat	catalan-d
D.Cat.Ope	D	E04|E05	D.Cat	catalan-d
D.Cat.Cls	D	E06|E07|E08|E09	D.Cat	catalan-d
E.OldI	E	A53|A54|A55	E.OldI	indians-e
E.Gru	E	D70|D71|D72|D73|D74|D75|D76|D77|D78|D79|D80|D81|D82|D83|D84|D85|D86|D87|D88|D89|D90|D91|D92|D93|D94|D95|D96|D97|D98|D99	E.Gru	gruenfeld-e
E.Gru.Exc	E	D85|D86	E.Gru	gruenfeld-e
E.Gru.Rus	E	D96|D97|D98|D99	E.Gru	gruenfeld-e
E.Gru.Fch	E	D78|D79	E.Gru	gruenfeld-e
A.Col	A	D04|D05	A.Col	london-colle-a
B.Fre.Rub	B	C10	B.Fre	french-b
B.Fre.Bur	B	C11	B.Fre	french-b
B.Fre.Mac	B	C12	B.Fre	french-b
D.Cat.Fch	D	E06|E07	D.Cat	catalan-d
E.Gru.Sml	E	D80	E.Gru	gruenfeld-e
E.Gru.Brn	E	D80	E.Gru	gruenfeld-e
E.OldI.Ukr	E	A54	E.OldI	indians-e
B.Fre.Stn	B	C11	B.Fre	french-b
B.Fre.FKn	B	C10	B.Fre	french-b
D.Cat.Ope.Qa4	D	E03	D.Cat	catalan-d
D.Cat.Cls.Qc2	D	E08|E09	D.Cat	catalan-d
E.Gru.Exc.Cla	E	D85|D86	E.Gru	gruenfeld-e
E.Gru.Exc.Sev	E	D85	E.Gru	gruenfeld-e
E.Ben.Old	E	A43|A44	E.Ben	indians-e
E.Ben.Mod.Fch	E	A61|A62|A63|A64	E.Ben	indians-e
E.Ben.Mod.Fou	E	A68|A69	E.Ben	indians-e
E.Ben.Mod.Cls	E	A70|A71|A72|A73|A74|A75|A76|A77|A78|A79	E.Ben	indians-e
D.Cat.Ope.Qa4.Ale	D	E03	D.Cat	catalan-d
D.Cat.Cls.Bot	D	E07	D.Cat	catalan-d
D.Cat.Cls.Rab	D	E09	D.Cat	catalan-d
E.Gru.Thr	E	D70|D71	E.Gru	gruenfeld-e
E.Gru.Hng	E	D80	E.Gru	gruenfeld-e
E.Gru.Exc.Sps	E	D87	E.Gru	gruenfeld-e
B.Fre.Adv.Mil	B	C02	B.Fre	french-b
B.Fre.Win.Psn	B	C18	B.Fre	french-b
B.Fre.Tar.Ope	B	C07|C08	B.Fre	french-b
B.Fre.Tar.Cls	B	C03|C04|C05|C06	B.Fre	french-b
E.Gru.Neo	E	D70|D71|D72|D73|D74|D75|D76|D77|D78|D79	E.Gru	gruenfeld-e
E.Ben.Bnk.Acc	E	A57|A58	E.Ben	indians-e
E.Ben.Bnk.Dec	E	A57	E.Ben	indians-e
E.Gru.Brn.Nad	E	D80	E.Gru	gruenfeld-e
D.Cat.Ope.Yug	D	E04	D.Cat	catalan-d
D.Cat.Ope.Bb4	D	E04	D.Cat	catalan-d
D.Cat.Cls.Kor	D	E08	D.Cat	catalan-d
E.OldI.Cls	E	A54	E.OldI	indians-e
E.OldI.Jan	E	A53	E.OldI	indians-e
E.Gru.Rus.Prz	E	D97	E.Gru	gruenfeld-e
E.Gru.Rus.Szs	E	D97	E.Gru	gruenfeld-e
E.Gru.Exc.SeV	E	D87	E.Gru	gruenfeld-e
E.Gru.Exc.Mod	E	D85	E.Gru	gruenfeld-e
E.Gru.Fch.Pac	E	D78	E.Gru	gruenfeld-e
E.Gru.Fch.Euw	E	D78	E.Gru	gruenfeld-e
B.Fre.Win.Arm	B	C18	B.Fre	french-b
B.Fre.Tar.Gui	B	C03	B.Fre	french-b
B.Fre.Adv.Nim	B	C02	B.Fre	french-b
E.Gru.Neo.Exc	E	D76	E.Gru	gruenfeld-e
A.Lon.Psn	A	D02	A.Lon	london-colle-a
B.Fre.Exc.Mon	B	C01	B.Fre	french-b
E.OldI.Fch	E	A53	E.OldI	indians-e
E.Ben.Old.Adv	E	A43	E.Ben	indians-e
E.Ben.Old.Sch	E	A43	E.Ben	indians-e
E.Ben.Old.Sna	E	A43	E.Ben	indians-e
E.Ben.Old.Zil	E	A43	E.Ben	indians-e
E.Ben.Mod.Snk	E	A60	E.Ben	indians-e
E.Ben.Mod.Tai	E	A67	E.Ben	indians-e
D.Cat.Cls.Qc2.Btr	D	E08	D.Cat	catalan-d
D.Cat.Ope.Bb4.Mod	D	E04	D.Cat	catalan-d
E.OldI.Cls.Cze	E	A54	E.OldI	indians-e
E.Ind	E	A50	E.Ind	indians-e
E.Ind.Tgo	E	A50	E.Ind	indians-e
E.Ind.Tgo.Nf3	E	A50	E.Ind	indians-e
E.Ind.QID	E	A50	E.Ind	indians-e
E.Bud	E	A51|A52	E.Bud	budapest-e
E.Bud.Faj	E	A51	E.Bud	budapest-e
E.Bud.Faj.Bns	E	A51	E.Bud	budapest-e
E.Bud.Faj.Ste	E	A51	E.Bud	budapest-e
E.Bud.Adl	E	A52	E.Bud	budapest-e
E.Bud.Rub	E	A52	E.Bud	budapest-e
E.Bud.Alk	E	A52	E.Bud	budapest-e
A.Col.Kol	A	D04	A.Col	london-colle-a
A.Col.Zuk	A	D05	A.Col	london-colle-a
A.Col.Phn	A	D05	A.Col	london-colle-a
A.Lon.Cls	A	D02	A.Lon	london-colle-a
A.Lon.Msn	A	D02	A.Lon	london-colle-a
E.Ben.Mod.Cls.MLn	E	A70|A71	E.Ben	indians-e
E.Ben.Mod.Cls.Nd2	E	A72	E.Ben	indians-e
E.Ben.Mod.Cls.Bg5	E	A73	E.Ben	indians-e
E.Ben.Mod.Cls.Rb1	E	A74	E.Ben	indians-e
E.Ben.Mod.Cls.h3	E	A75	E.Ben	indians-e
