ocn1	eco	seq
A.Eng	A10	0
A.Eng	A11	1
A.Eng	A12	2
A.Eng	A13	3
A.Eng	A14	4
A.Eng	A15	5
A.Eng	A16	6
A.Eng	A17	7
A.Eng	A18	8
A.Eng	A19	9
A.Eng	A20	10
A.Eng	A21	11
A.Eng	A22	12
A.Eng	A23	13
A.Eng	A24	14
A.Eng	A25	15
A.Eng	A26	16
A.Eng	A27	17
A.Eng	A28	18
A.Eng	A29	19
A.Eng	A30	20
A.Eng	A31	21
A.Eng	A32	22
A.Eng	A33	23
A.Eng	A34	24
A.Eng	A35	25
A.Eng	A36	26
A.Eng	A37	27
A.Eng	A38	28
A.Eng	A39	29
A.Eng.Sym	A30	0
A.Eng.Sym	A31	1
A.Eng.Sym	A32	2
A.Eng.Sym	A33	3
A.Eng.Sym	A34	4
A.Eng.Sym	A35	5
A.Eng.Sym	A36	6
A.Eng.Sym	A37	7
A.Eng.Sym	A38	8
A.Eng.Sym	A39	9
A.Eng.Rev	A20	0
A.Eng.Rev	A21	1
A.Eng.Rev	A22	2
A.Eng.Rev	A23	3
A.Eng.Rev	A24	4
A.Eng.Rev	A25	5
A.Eng.Rev	A26	6
A.Eng.Rev	A27	7
A.Eng.Rev	A28	8
A.Eng.Rev	A29	9
A.Hol	A80	0
A.Hol	A81	1
A.Hol	A82	2
A.Hol	A83	3
A.Hol	A84	4
A.Hol	A85	5
A.Hol	A86	6
A.Hol	A87	7
A.Hol	A88	8
A.Hol	A89	9
A.Hol	A90	10
A.Hol	A91	11
A.Hol	A92	12
A.Hol	A93	13
A.Hol	A94	14
A.Hol	A95	15
A.Hol	A96	16
A.Hol	A97	17
A.Hol	A98	18
A.Hol	A99	19
A.Hol.Lng	A87	0
A.Hol.Lng	A88	1
A.Hol.Lng	A89	2
A.Hol.Sto	A84	0
A.Hol.Sto	A85	1
A.Hol.Cls	A96	0
A.Hol.Cls	A97	1
A.Hol.Cls	A98	2
A.Hol.Cls	A99	3
E.Ben	A57	0
E.Ben	A58	1
E.Ben	A59	2
E.Ben	A60	3
E.Ben	A61	4
E.Ben	A62	5
E.Ben	A63	6
E.Ben	A64	7
E.Ben	A65	8
E.Ben	A66	9
E.Ben	A67	10
E.Ben	A68	11
E.Ben	A69	12
E.Ben	A70	13
E.Ben	A71	14
E.Ben	A72	15
E.Ben	A73	16
E.Ben	A74	17
E.Ben	A75	18
E.Ben	A76	19
E.Ben	A77	20
E.Ben	A78	21
E.Ben	A79	22
E.Ben.Mod	A60	0
E.Ben.Mod	A61	1
E.Ben.Mod	A62	2
E.Ben.Mod	A63	3
E.Ben.Mod	A64	4
E.Ben.Mod	A65	5
E.Ben.Mod	A66	6
E.Ben.Mod	A67	7
E.Ben.Mod	A68	8
E.Ben.Mod	A69	9
E.Ben.Mod	A70	10
E.Ben.Mod	A71	11
E.Ben.Mod	A72	12
E.Ben.Mod	A73	13
E.Ben.Mod	A74	14
E.Ben.Mod	A75	15
E.Ben.Mod	A76	16
E.Ben.Mod	A77	17
E.Ben.Mod	A78	18
E.Ben.Mod	A79	19
E.Ben.Bnk	A57	0
E.Ben.Bnk	A58	1
E.Ben.Bnk	A59	2
E.Ben.Czk	A56	0
A.Tro	A45	0
A.Lon	D02	0
A.Bir	A02	0
A.Bir	A03	1
A.Lar	A01	0
A.Ret	A04	0
A.Ret	A05	1
A.Ret	A06	2
A.Ret	A07	3
A.Ret	A08	4
A.Ret	A09	5
A.Owe	A40	0
A.Owe	B00	1
A.Pol	A00	0
B.Sic	B20	0
B.Sic	B21	1
B.Sic	B22	2
B.Sic	B23	3
B.Sic	B24	4
B.Sic	B25	5
B.Sic	B26	6
B.Sic	B27	7
B.Sic	B28	8
B.Sic	B29	9
B.Sic	B30	10
B.Sic	B31	11
B.Sic	B32	12
B.Sic	B33	13
B.Sic	B34	14
B.Sic	B35	15
B.Sic	B36	16
B.Sic	B37	17
B.Sic	B38	18
B.Sic	B39	19
B.Sic	B40	20
B.Sic	B41	21
B.Sic	B42	22
B.Sic	B43	23
B.Sic	B44	24
B.Sic	B45	25
B.Sic	B46	26
B.Sic	B47	27
B.Sic	B48	28
B.Sic	B49	29
B.Sic	B50	30
B.Sic	B51	31
B.Sic	B52	32
B.Sic	B53	33
B.Sic	B54	34
B.Sic	B55	35
B.Sic	B56	36
B.Sic	B57	37
B.Sic	B58	38
B.Sic	B59	39
B.Sic	B60	40
B.Sic	B61	41
B.Sic	B62	42
B.Sic	B63	43
B.Sic	B64	44
B.Sic	B65	45
B.Sic	B66	46
B.Sic	B67	47
B.Sic	B68	48
B.Sic	B69	49
B.Sic	B70	50
B.Sic	B71	51
B.Sic	B72	52
B.Sic	B73	53
B.Sic	B74	54
B.Sic	B75	55
B.Sic	B76	56
B.Sic	B77	57
B.Sic	B78	58
B.Sic	B79	59
B.Sic	B80	60
B.Sic	B81	61
B.Sic	B82	62
B.Sic	B83	63
B.Sic	B84	64
B.Sic	B85	65
B.Sic	B86	66
B.Sic	B87	67
B.Sic	B88	68
B.Sic	B89	69
B.Sic	B90	70
B.Sic	B91	71
B.Sic	B92	72
B.Sic	B93	73
B.Sic	B94	74
B.Sic	B95	75
B.Sic	B96	76
B.Sic	B97	77
B.Sic	B98	78
B.Sic	B99	79
B.Sic.Naj	B90	0
B.Sic.Naj	B91	1
B.Sic.Naj	B92	2
B.Sic.Naj	B93	3
B.Sic.Naj	B94	4
B.Sic.Naj	B95	5
B.Sic.Naj	B96	6
B.Sic.Naj	B97	7
B.Sic.Naj	B98	8
B.Sic.Naj	B99	9
B.Sic.Naj.Eng	B90	0
B.Sic.Naj.Sch	B92	0
B.Sic.Naj.Sch	B93	1
B.Sic.Naj.Adm	B90	0
B.Sic.Naj.Pol	B96	0
B.Sic.Naj.Pst	B97	0
B.Sic.Sve	B33	0
B.Sic.Sve.Nd5	B33	0
B.Sic.Sve.Nd5.Be7	B33	0
B.Sic.Sve.Nd5.Be7.Bxf6	B33	0
B.Sic.Sve.Nd5.Qa5	B33	0
B.Sic.Sve.Bxf6	B33	0
B.Sic.Sve.Bxf6.Nd5	B33	0
B.Sic.Sve.Bxf6.Nd5.Bg7	B33	0
B.Sic.Sve.Bxf6.Nd5.f5	B33	0
B.Sic.Dra	B70	0
B.Sic.Dra	B71	1
B.Sic.Dra	B72	2
B.Sic.Dra	B73	3
B.Sic.Dra	B74	4
B.Sic.Dra	B75	5
B.Sic.Dra	B76	6
B.Sic.Dra	B77	7
B.Sic.Dra	B78	8
B.Sic.Dra	B79	9
B.Sic.Dra.Yug	B76	0
B.Sic.Dra.Yug	B77	1
B.Sic.Dra.Yug	B78	2
B.Sic.Dra.Yug	B79	3
B.Sic.Sch	B80	0
B.Sic.Sch	B81	1
B.Sic.Sch	B82	2
B.Sic.Sch	B83	3
B.Sic.Sch	B84	4
B.Sic.Sch	B85	5
B.Sic.Sch	B86	6
B.Sic.Sch	B87	7
B.Sic.Sch	B88	8
B.Sic.Sch	B89	9
B.Sic.Sch.Krs	B81	0
B.Sic.Tay	B40	0
B.Sic.Tay	B41	1
B.Sic.Tay	B42	2
B.Sic.Tay	B43	3
