event_id	display_name	kind	format	year	participants	games	source
wch-1886-steinitz-zukertort	Steinitz - Zukertort World Championship Match	wch_match	match	1886	steinitz|zukertort	17	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-1890-gunsberg-steinitz	World Championship 3rd	wch_match	match	1890	gunsberg|steinitz	5	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-1891-gunsberg-steinitz	World Championship 3rd	wch_match	match	1891	gunsberg|steinitz	8	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-1894-lasker-steinitz	World Championship 5th	wch_match	match	1894	lasker|steinitz	13	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-1896-lasker-steinitz	World Championship 6th	wch_match	match	1896	lasker|steinitz	14	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-1907-lasker-marshall-viele	World Championship 7th	wch_match	match	1907	lasker|marshall-viele	15	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-1908-lasker-tarrasch	World Championship 8th	wch_match	match	1908	lasker|tarrasch	14	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-1909-forgacs-lasker	World Championship 9th	wch_match	match	1909	forgacs|lasker	10	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-1910-forgacs-lasker	World Championship 11th	wch_match	match	1910	forgacs|lasker	11	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-1910-lasker-morrison	World Championship 10th	wch_match	match	1910	lasker|morrison	10	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-1921-capablanca-lasker	World Championship 12th	wch_match	match	1921	capablanca|lasker	13	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-1927-alekhine-capablanca	World Championship 13th	wch_match	match	1927	alekhine|capablanca	27	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-1929-alekhine-bogoljubow	World Championship 14th	wch_match	match	1929	alekhine|bogoljubow	6	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
wch-1929-aljechin-bogoljubow	World Championship 14th	wch_match	match	1929	aljechin|bogoljubow	21	LumbrasGigaBase (freely downloadable), via tools/build_wch_map.py; each game identified by players, event and year
