ocn1	match_kind	matched_plies	total_plies	lichess_eco	lichess_name
A	root	0	0		
B	root	0	0		
C	root	0	0		
D	root	0	0		
E	root	0	0		
A.Eng	exact	1	1	A10	English Opening
A.Eng.Sym	exact	2	2	A30	English Opening: Symmetrical Variation
A.Eng.Rev	exact	2	2	A20	English Opening: King's English Variation
A.Hol	exact	2	2	A80	Dutch Defense
A.Hol.Lng	exact	6	6	A81	Dutch Defense: Semi-Leningrad Variation
A.Hol.Sto	prefix	3	8	A81	Dutch Defense: Fianchetto Attack
A.Hol.Cls	prefix	3	8	A81	Dutch Defense: Fianchetto Attack
E.Ben	exact	4	4	A56	Benoni Defense
E.Ben.Mod	prefix	11	12	A65	Benoni Defense: King's Pawn Line
E.Ben.Bnk	exact	6	6	A57	Benko Gambit
E.Ben.Czk	exact	6	6	A56	Benoni Defense: Czech Benoni Defense
A.Tro	exact	3	3	A45	Trompowsky Attack
A.Lon	exact	5	5	D02	Queen's Pawn Game: London System
A.Bir	exact	1	1	A02	Bird Opening
A.Lar	exact	1	1	A01	Nimzo-Larsen Attack
A.Ret	exact	1	1	A04	Zukertort Opening
A.Owe	exact	2	2	A40	English Defense
A.Pol	exact	1	1	A00	Polish Opening
B.Sic	exact	2	2	B20	Sicilian Defense
B.Sic.Naj	exact	10	10	B90	Sicilian Defense: Najdorf Variation
B.Sic.Naj.Eng	exact	11	11	B90	Sicilian Defense: Najdorf Variation, English Attack
B.Sic.Naj.Sch	exact	12	12	B84	Sicilian Defense: Scheveningen Variation, Classical Variation
B.Sic.Naj.Adm	exact	11	11	B90	Sicilian Defense: Najdorf Variation, Adams Attack
B.Sic.Naj.Pol	exact	14	14	B96	Sicilian Defense: Najdorf Variation, Polugaevsky Variation
B.Sic.Naj.Pst	exact	14	14	B97	Sicilian Defense: Najdorf Variation, Poisoned Pawn Variation
B.Sic.Sve	exact	10	10	B33	Sicilian Defense: Lasker-Pelikan Variation
B.Sic.Sve.Nd5	exact	17	17	B33	Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation
B.Sic.Sve.Nd5.Be7	prefix	17	18	B33	Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation
B.Sic.Sve.Nd5.Be7.Bxf6	prefix	17	20	B33	Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation
B.Sic.Sve.Nd5.Qa5	prefix	17	18	B33	Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation
B.Sic.Sve.Bxf6	prefix	16	18	B33	Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation
B.Sic.Sve.Bxf6.Nd5	prefix	16	19	B33	Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation
B.Sic.Sve.Bxf6.Nd5.Bg7	exact	20	20	B33	Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Novosibirsk Variation
B.Sic.Sve.Bxf6.Nd5.f5	exact	20	20	B33	Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation
B.Sic.Dra	exact	10	10	B70	Sicilian Defense: Dragon Variation
B.Sic.Dra.Yug	exact	17	17	B77	Sicilian Defense: Dragon Variation, Yugoslav Attack, Main Line
B.Sic.Sch	prefix	8	10	B54	Sicilian Defense: Modern Variations, Main Line
B.Sic.Sch.Krs	prefix	8	11	B54	Sicilian Defense: Modern Variations, Main Line
B.Sic.Tay	exact	8	8	B44	Sicilian Defense: Taimanov Variation
B.Sic.Kan	exact	8	8	B41	Sicilian Defense: Kan Variation
B.Sic.Cls	exact	10	10	B56	Sicilian Defense: Classical Variation
B.Sic.Ros	exact	5	5	B30	Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
B.Sic.Mor	exact	5	5	B51	Sicilian Defense: Moscow Variation
B.Sic.Alp	exact	3	3	B22	Sicilian Defense: Alapin Variation
B.Sic.SmM	exact	5	5	B21	Sicilian Defense: Smith-Morra Gambit
B.Sic.Cls.Rch	exact	11	11	B60	Sicilian Defense: Richter-Rauzer Variation
B.Sic.OKn	prefix	6	7	B50	Sicilian Defense
B.CaK	exact	2	2	B10	Caro-Kann Defense
B.CaK.Adv	exact	5	5	B12	Caro-Kann Defense: Advance Variation
B.CaK.Cls	prefix	6	8	B15	Caro-Kann Defense
B.CaK.Pmv	exact	7	7	B13	Caro-Kann Defense: Panov Attack
B.CaK.Two	exact	5	5	B10	Caro-Kann Defense: Two Knights Attack
B.Fre	exact	2	2	C00	French Defense
B.Fre.Win	exact	6	6	C15	French Defense: Winawer Variation
B.Fre.Tar	exact	5	5	C03	French Defense: Tarrasch Variation
B.Fre.Adv	exact	5	5	C02	French Defense: Advance Variation
B.Fre.Cls	exact	6	6	C11	French Defense: Classical Variation
B.Fre.Exc	prefix	5	6	C01	French Defense: Exchange Variation
B.Pir	exact	6	6	B07	Pirc Defense
B.Mod	exact	2	2	B06	Modern Defense
B.Sca	exact	2	2	B01	Scandinavian Defense
B.Ale	exact	2	2	B02	Alekhine Defense
B.OwM	exact	2	2	B00	Owen Defense
C.RyL	exact	5	5	C60	Ruy Lopez
C.RyL.Ber	exact	6	6	C65	Ruy Lopez: Berlin Defense
C.RyL.Ber.Wal.End	exact	16	16	C67	Ruy Lopez: Berlin Defense, l'Hermet Variation, Berlin Wall Defense
C.RyL.Mar	exact	16	16	C89	Ruy Lopez: Marshall Attack
C.RyL.AntM	exact	14	14	C88	Ruy Lopez: Closed
C.RyL.Cls	prefix	13	14	C88	Ruy Lopez: Closed
C.RyL.Brk	exact	18	18	C94	Ruy Lopez: Closed, Breyer Defense
C.RyL.Zai	prefix	18	20	C92	Ruy Lopez: Closed, Flohr System
C.RyL.Cha	exact	18	18	C97	Ruy Lopez: Closed, Chigorin Defense
C.RyL.Exc	exact	7	7	C68	Ruy Lopez: Exchange Variation
C.Ita	exact	5	5	C50	Italian Game
C.Ita.Two	exact	6	6	C55	Italian Game: Two Knights Defense
C.Ita.Evn	exact	7	7	C51	Italian Game: Evans Gambit
C.Ita.Pia	exact	7	7	C50	Italian Game: Giuoco Pianissimo
C.KGm	exact	3	3	C30	King's Gambit
C.KGm.Acc	exact	4	4	C33	King's Gambit Accepted
C.KGm.Dec	exact	4	4	C30	King's Gambit Declined: Classical Variation
C.Pet	exact	4	4	C42	Petrov's Defense
C.Sco	exact	5	5	C44	Scotch Game
C.Sco.Mie	exact	8	8	C45	Scotch Game: Schmidt Variation
C.Vie	exact	3	3	C25	Vienna Game
C.PhD	exact	4	4	C41	Philidor Defense
C.LtO	exact	4	4	C40	Latvian Gambit
D.QGD	exact	4	4	D30	Queen's Gambit Declined
D.QGD.Ort	prefix	8	10	D53	Queen's Gambit Declined
D.QGD.Tar	prefix	8	12	D53	Queen's Gambit Declined
