ocn1	canonical_name	name_basis	basis_rule
A	Flank Openings	review	review
B	Semi-Open Games	review	review
C	Open Games	review	review
D	Closed Queen's Pawn	review	review
E	Indian Defences	review	review
A.Eng	English Opening	review	review
A.Eng.Sym	English Opening, Symmetrical	review	review
A.Eng.Rev	English Opening, Reversed Sicilian	review	review
A.Hol	Dutch Defence	review	review
A.Hol.Lng	Dutch Defence, Leningrad	review	review
A.Hol.Sto	Dutch Defence, Stonewall	review	review
A.Hol.Cls	Dutch Defence, Classical	review	review
E.Ben	Benoni Defence	review	review
E.Ben.Mod	Modern Benoni	review	review
E.Ben.Bnk	Benko / Volga Gambit	person	attributed_to
E.Ben.Czk	Czech Benoni	review	review
A.Tro	Trompowsky Attack	person	attributed_to
A.Lon	London System	review	review
A.Bir	Bird's Opening	person	attributed_to
A.Lar	Larsen Attack	person	attributed_to
A.Ret	Réti Opening	person	attributed_to
A.Owe	Owen's Defence	review	review
A.Pol	Polish Opening	person	attributed_to
B.Sic	Sicilian Defence	review	review
B.Sic.Naj	Sicilian, Najdorf	person	attributed_to
B.Sic.Naj.Eng	Sicilian Najdorf, English Attack	review	review
B.Sic.Naj.Sch	Sicilian Najdorf, Scheveningen	review	review
B.Sic.Naj.Adm	Sicilian Najdorf, Adams Attack	review	review
B.Sic.Naj.Pol	Sicilian Najdorf, Polugaevsky	person	attributed_to
B.Sic.Naj.Pst	Sicilian Najdorf, Poisoned Pawn	review	review
B.Sic.Sve	Sicilian Sveshnikov	person	attributed_to
B.Sic.Sve.Nd5	Sveshnikov, 9.Nd5 (Modern Main)	review	review
B.Sic.Sve.Nd5.Be7	Sveshnikov 9.Nd5, ...Be7	review	review
B.Sic.Sve.Nd5.Be7.Bxf6	Sveshnikov 9.Nd5 Be7, 10.Bxf6 Bxf6	review	review
B.Sic.Sve.Nd5.Qa5	Sveshnikov 9.Nd5, ...Qa5+	review	review
B.Sic.Sve.Bxf6	Sveshnikov, 9.Bxf6 (Old Main)	review	review
B.Sic.Sve.Bxf6.Nd5	Sveshnikov 9.Bxf6, 10.Nd5	review	review
B.Sic.Sve.Bxf6.Nd5.Bg7	Novosibirsk (10...Bg7)	review	review
B.Sic.Sve.Bxf6.Nd5.f5	Sveshnikov 10...f5 (counterpunch)	review	review
B.Sic.Dra	Sicilian Dragon	review	review
B.Sic.Dra.Yug	Sicilian Dragon, Yugoslav Attack	review	review
B.Sic.Sch	Sicilian Scheveningen	review	review
B.Sic.Sch.Krs	Sicilian Scheveningen, Keres Attack	person	attributed_to
B.Sic.Tay	Sicilian Taimanov	review	review
B.Sic.Kan	Sicilian Kan	review	review
B.Sic.Cls	Sicilian Classical	review	review
B.Sic.Ros	Sicilian Rossolimo	person	attributed_to
B.Sic.Mor	Sicilian Moscow	review	review
B.Sic.Alp	Sicilian Alapin	review	review
B.Sic.SmM	Sicilian Smith-Morra Gambit	review	review
B.Sic.Cls.Rch	Sicilian Classical, Richter-Rauzer	review	review
B.Sic.OKn	Sicilian, Open Knights	review	review
B.CaK	Caro-Kann Defence	review	review
B.CaK.Adv	Caro-Kann, Advance	review	review
B.CaK.Cls	Caro-Kann, Classical	review	review
B.CaK.Pmv	Caro-Kann, Panov-Botvinnik Attack	review	review
B.CaK.Two	Caro-Kann, Two Knights	review	review
B.Fre	French Defence	review	review
B.Fre.Win	French, Winawer	review	review
B.Fre.Tar	French, Tarrasch	review	review
B.Fre.Adv	French, Advance	review	review
B.Fre.Cls	French, Classical	review	review
B.Fre.Exc	French, Exchange	review	review
B.Pir	Pirc Defence	review	review
B.Mod	Modern Defence	review	review
B.Sca	Scandinavian Defence	review	review
B.Ale	Alekhine Defence	person	attributed_to
B.OwM	Owen's Modern (...b6 vs e4)	review	review
C.RyL	Ruy López	review	review
C.RyL.Ber	Ruy López, Berlin Defence	review	review
C.RyL.Ber.Wal.End	Berlin Wall, Endgame	person	attributed_to
C.RyL.Mar	Ruy López, Marshall Attack	person	attributed_to
C.RyL.AntM	Ruy López, Anti-Marshall Systems	review	review
C.RyL.Cls	Ruy López, Closed Spanish	review	review
C.RyL.Brk	Ruy López, Breyer	review	review
C.RyL.Zai	Ruy López, Zaitsev	review	review
C.RyL.Cha	Ruy López, Chigorin	review	review
C.RyL.Exc	Ruy López, Exchange	review	review
C.Ita	Italian Game	review	review
C.Ita.Two	Italian, Two Knights	review	review
C.Ita.Evn	Italian, Evans Gambit	person	attributed_to
C.Ita.Pia	Italian, Giuoco Pianissimo	review	review
C.KGm	King's Gambit	review	review
C.KGm.Acc	King's Gambit Accepted	review	review
C.KGm.Dec	King's Gambit Declined	review	review
C.Pet	Petrov Defence	review	review
C.Sco	Scotch Game	review	review
C.Sco.Mie	Scotch, Mieses	review	review
C.Vie	Vienna Game	review	review
C.PhD	Philidor Defence	review	review
C.LtO	Latvian Gambit	review	review
D.QGD	Queen's Gambit Declined	review	review
D.QGD.Ort	QGD, Orthodox	review	review
D.QGD.Tar	QGD, Tartakower	review	review
D.QGD.Lsk	QGD, Lasker	review	review
D.QGD.Cmb	QGD, Cambridge Springs	person	attributed_to
D.QGD.Exc	QGD, Exchange	review	review
D.QGA	Queen's Gambit Accepted	review	review
D.Sla	Slav Defence	review	review
D.Sem	Semi-Slav	review	review
D.Sem.Mer	Semi-Slav, Meran	person	attributed_to
D.Sem.Bg5	Semi-Slav, 5.Bg5 Systems	review	review
D.Sem.Bg5.Mos	Semi-Slav, Moscow Variation	review	review
D.Sem.Bg5.AMo	Semi-Slav, Anti-Moscow	review	review
D.Sem.Bg5.Bot	Semi-Slav, Botvinnik	review	review
D.Sla.Exc	Slav, Exchange	review	review
D.Sla.Cls	Slav, Classical	review	review
D.Cat	Catalan Opening	person	attributed_to
D.Cat.Ope	Catalan, Open	review	review
D.Cat.Cls	Catalan, Closed	review	review
D.Tar	Tarrasch Defence	person	attributed_to
D.STa	Semi-Tarrasch	review	review
D.QGD.Vie	QGD, Vienna Variation	review	review
D.QGD.Rag	QGD, Ragozin	review	review
D.Alb	Albin Counter-Gambit	person	attributed_to
D.Bgm	Blackmar-Diemer Gambit	review	review
E.KID	King's Indian Defence	review	review
E.KID.Sml	KID, Sämisch	review	review
E.KID.Cls	KID, Classical	review	review
E.KID.Cls.Mar	KID, Mar del Plata	person	attributed_to
E.KID.Fch	KID, Fianchetto	review	review
E.KID.Avk	KID, Averbakh	person	attributed_to
E.KID.Fou	KID, Four Pawns Attack	review	review
E.Nim	Nimzo-Indian Defence	person	attributed_to
E.Nim.Rub	Nimzo, Rubinstein	review	review
E.Nim.Cls	Nimzo, Classical	review	review
E.Nim.Sml	Nimzo, Sämisch	review	review
E.Nim.Lng	Nimzo, Leningrad	review	review
E.QID	Queen's Indian Defence	review	review
E.QID.Pet	QID, Petrosian	review	review
E.QID.Mod	QID, Modern	review	review
E.Bog	Bogo-Indian Defence	review	review
E.OldI	Old Indian Defence	review	review
E.Gru	Grünfeld Defence	review	review
E.Gru.Exc	Grünfeld, Exchange	review	review
E.Gru.Rus	Grünfeld, Russian	review	review
E.Gru.Fch	Grünfeld, Fianchetto	review	review
A.KIA	King's Indian Attack	review	review
A.KIA.Fre	King's Indian Attack, French Setup	review	review
A.Ret.Acc	Réti Opening, Accepted	descriptor	editorial_leaf_token
