ocn1	kind	format	event	year	white	black	result	ply	citation
C.RyL.Mor.StD	open	match	World Championship 6th	1896	Lasker, Emanuel	Steinitz, Wilhelm	0-1	8	Lasker, Emanuel-Steinitz, Wilhelm, World Championship 6th, Moskou wch-m, 1896
C.RyL.Mor.StD	open	match	World Championship 6th	1896	Lasker, Emanuel	Steinitz, Wilhelm	1-0	8	Lasker, Emanuel-Steinitz, Wilhelm, World Championship 6th, Moscow RUS, 1896
C.Ita.Pia.Nf6.Ita	open	match	World Championship 6th	1896	Lasker, Emanuel	Steinitz, Wilhelm	1-0	9	Lasker, Emanuel-Steinitz, Wilhelm, World Championship 6th, Moskou wch-m, 1896
A.Hor.Fch.MLn.Bg5.Be7	open	match	World Championship 6th	1896	Steinitz, Wilhelm	Lasker, Emanuel	1/2-1/2	8	Steinitz, Wilhelm-Lasker, Emanuel, World Championship 6th, Moskou wch-m, 1896
D.QGD.Ort.Rau	open	match	World Championship 6th	1896	Steinitz, Wilhelm	Lasker, Emanuel	0-1	13	Steinitz, Wilhelm-Lasker, Emanuel, World Championship 6th, Moscow RUS, 1896
A.Hor.Fch.MLn.Bg5.Be7	open	match	World Championship 6th	1896	Steinitz, Wilhelm	Lasker, Emanuel	1/2-1/2	8	Steinitz, Wilhelm-Lasker, Emanuel, World Championship 6th, Moskou wch-m, 1896
A.Hor.Fch.MLn.Bg5.Be7	open	match	World Championship 6th	1896	Steinitz, Wilhelm	Lasker, Emanuel	0-1	8	Steinitz, Wilhelm-Lasker, Emanuel, World Championship 6th, Moskou wch-m, 1896
C.RyL.Exc.dxc6.Nc3.f6	open	match	World Championship 6th	1896	Lasker, Emanuel	Steinitz, Wilhelm	1-0	10	Lasker, Emanuel-Steinitz, Wilhelm, World Championship 6th, Moskou wch-m, 1896
C.Ita.Giu.Mol.MLn.Stn	open	match	World Championship 6th	1896	Steinitz, Wilhelm	Lasker, Emanuel	0-1	19	Steinitz, Wilhelm-Lasker, Emanuel, World Championship 6th, Moskou wch-m, 1896
C.RyL.Stn.d4.Bd7	open	match	World Championship 6th	1896	Lasker, Emanuel	Steinitz, Wilhelm	1/2-1/2	8	Lasker, Emanuel-Steinitz, Wilhelm, World Championship 6th, Moskou wch-m, 1896
C.RyL.ClD.c3	open	match	World Championship 6th	1896	Lasker, Emanuel	Steinitz, Wilhelm	1-0	7	Lasker, Emanuel-Steinitz, Wilhelm, World Championship 6th, Moskou wch-m, 1896
C.RyL.Exc.dxc6.Nc3	open	match	World Championship 6th	1896	Lasker, Emanuel	Steinitz, Wilhelm	1-0	9	Lasker, Emanuel-Steinitz, Wilhelm, World Championship 6th, Moskou wch-m, 1896
A.Hor.Fch.MLn.Bg5.Be7	open	match	World Championship 6th	1896	Steinitz, Wilhelm	Lasker, Emanuel	1/2-1/2	8	Steinitz, Wilhelm-Lasker, Emanuel, World Championship 6th, Moskou wch-m, 1896
C.RyL.ClD.c3	open	match	World Championship 6th	1896	Lasker, Emanuel	Steinitz, Wilhelm	1-0	7	Lasker, Emanuel-Steinitz, Wilhelm, World Championship 6th, Moskou wch-m, 1896
C.RyL.Ber.O-O.Nxe4	open	match	Steinitz - Zukertort World Championship Match	1886	Steinitz, Wilhelm	Zukertort, Johannes	1/2-1/2	8	Steinitz, Wilhelm-Zukertort, Johannes, Steinitz - Zukertort World Championship Match, New Orleans, LA USA, 1886
C.Vie.Nc6.f4.exf4.d4	open	match	Steinitz - Zukertort World Championship Match	1886	Steinitz, Wilhelm	Zukertort, Johannes	1-0	7	Steinitz, Wilhelm-Zukertort, Johannes, Steinitz - Zukertort World Championship Match, New Orleans, LA USA, 1886
C.RyL.Ber.O-O.Nxe4	open	match	Steinitz - Zukertort World Championship Match	1886	Steinitz, Wilhelm	Zukertort, Johannes	1/2-1/2	8	Steinitz, Wilhelm-Zukertort, Johannes, Steinitz - Zukertort World Championship Match, New Orleans, LA USA, 1886
D.QGD.Mod.PTr	open	match	Steinitz - Zukertort World Championship Match	1886	Zukertort, Johannes	Steinitz, Wilhelm	1/2-1/2	9	Zukertort, Johannes-Steinitz, Wilhelm, Steinitz - Zukertort World Championship Match, New Orleans, LA USA, 1886
