ocn1	canonical_name	asked_as	moves_san	person	clause	role	rival	verdict
B.CaK.Cls.Ng3.Bg6.Nh3	Caro-Kann Classical, Flohr Variation	Flohr Variation	1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.Nh3	Salo Flohr	574 in the CARO- KANN DEFENrE, an idea of OPOCENSKY's played twice by Flohr at Moscow 1935	popularised	Opocensky	clause
C.RyL.Cls.c3.O-O.h3.Bb7	Ruy López Closed h3, Bb7	Zaitsev Variation	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.0-0 Be7 6.Re1 b5 7.Bb3 d6 8.c3 0-0 9.h3 Bb7	Igor Zaitsev	772 in the SPANISH OPENING, recommended in 1 973 and 1 968 respectively by the Soviet player Igor Arkadycvich Zaitscv ( 1 938 - )	recommended	none	clause
B.Sic.Naj.Adm	Sicilian Najdorf, Adams Attack	Adams Attack	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.h3	Weaver W. Adams	Adams Attack, 5 1 5, line for White in the SICILIAN DEFENCE pioneered by the American player Weaver Adams ( 1 90 1 63). It was played by FISCHER against BOLBOCHAN at the Stockholm Interzonal 1 962, against NAJDORF in the Varna Olympiad 1 962, and against RESHEVSKY in the USA championship, 1 962-3: hence the alternative name, Fischer Attack.	originated	Fischer	clause
B.Sic.Alp	Sicilian Alapin	Alapin Variation	1.e4 c5 2.c3	Semyon Alapin	448 (sometimes called the Alapin-Sveshnikov Variation) in the SICILIAN DEFENCE, CARRERA'S interesting invention	popularised	Carrera	clause
E.KID.Avk	KID, Averbakh	Averbakh System	1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 5.Be2 0-0 6.Bg5	Yuri Averbakh	395, in the KING'S INDIAN DEFENCE, introduced to master play by AVERBAKH in 1 952	originated	none	clause
C.RyL.Coz	Ruy López, Cozio Defence	Cozio Defence	1.e4 e5 2.Nf3 Nc6 3.Bb5 Nge7	Carlo Cozio	also 783 in the SPANISH OPENING, a variation first given by CARRERA, tried in recent times by LARSEN, and sometimes known as the Lucena- Cozio Variation, or Steinitz Variation.	popularised	Carrera	clause
C.RyL.Mor.Ba4.d6.c4	Ruy López Modern Steinitz, c4	Duras Variation	1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6 5.c4	Oldřich Duras	Also 695 and 79 1 , outmoded lines in the SPANISH OPENING	popularised	none	clause
E.Gru.Thr.Qa4	Grünfeld Three Knights, Qa4+	Flohr Variation	1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 5.Qa4+	Salo Flohr	376 and 379 in the GRUNFELD DEFENCE	popularised	none	clause
B.Mod.Std.Nc3.C6S.Grg	Modern Defence, Gurgenidze Defence	Gurgenidze Defense	1.e4 g6 2.d4 Bg7 3.Nc3 c6 4.f4 d5 5.e5 h5	Bukhuti Gurgenidze	1 277 in the ROBATSCH DEFENCE, as Klovan-Gurgenidzc, Omsk 1 965.	popularised	none	clause
B.CaK.Dpn.Nc3.Gur	Caro-Kann, Gurgenidze Counterattack	Gurgenidze Variation	1.e4 c6 2.d4 d5 3.Nc3 b5	Bukhuti Gurgenidze	Gurgenidze Variation, 463 as Gurgenidze-Furman, USSR Championship 1 967	popularised	none	clause
B.Sic.Ros.Cls.MLn.Gur	Rossolimo Classical, Gurgenidze Variation	Gurgenidze Variation	1.e4 c5 2.Nf3 Nc6 3.Bb5 g6 4.0-0 Bg7 5.Re1 e5 6.b4	Bukhuti Gurgenidze				no-answer
C.PhD.d4.Nd7	Philidor Defence, Hanham Move Order	Hanham Variation	1.e4 e5 2.Nf3 d6 3.d4 Nd7	James Hanham	Hanham Variation, 1 022 in the PHILIDOR DEFENCE. At the New York 1 889 tournament the American player James Moore Hanham ( 1 840- 1 923) reintroduced the LORD VARIATION with a superior idea in mind: he had devised a way by which Black could defend the e-pawn and thus maintain a DEFENSIVE CENTRE.	popularised	Lord	clause
