ocn1	canonical_name	asked_as	moves_san	person	prev_tier	companion_index	role	rival	verdict	quote
A.Ama	Amar Opening	Amar Opening	1.Nh3	Charles Amar	oxford-companion	1324	unclear	none	entry	Amar Opening, 1 324, usually known as the PARIS OPENING.
A.Bar	Barnes Opening	Barnes Opening	1.f3	Thomas Wilson Barnes	oxford-companion	1282	unclear	none	entry	Barnes Opening, 1 282, an opening move of little merit, so named because of its parallel with the BARNES DEFENCE ( 1 247).
B.Sic.Cls.Bol	Sicilian Classical, Boleslavsky Variation	Boleslavsky Variation	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Be2 e5	Isaac Boleslavsky	oxford-companion	473	popularised	Paulsen	entry	Boleslavsky Variation, 473, in the SICILIAN DEFENCE. Black makes a HOLE at d5 and a BACKWARD PAWN at d6, but he establishes a wedge in the centre and free play for his pieces; if he is able to move his d-pawn safely from d6 to d5 he will probably obtain an advantage in the centre. The move had been played by PAULSEN in the 1880s (against GUNSBERG at Frankfurt 1887, and TARRASCH at Breslau 1889), and a similar line had been played by LASKER, always sceptical of dogma, in 1910. By the 1930s most masters would have regarded 6 . . . e5 as anti-positional but in the early 1940s, when BOLESLAVSKY re
A.Clm	Clemenz Opening	Clemenz Opening	1.h3	Hermann Clemenz	oxford-companion	1323	unclear	none	entry	Clemenz Opening, 1 323, named after the Estonian player Hermann Clemenz ( 1 846-1 908).
B.CaK.Cls.Ng3.Bg6.Nh3	Caro-Kann Classical, Flohr Variation	Flohr Variation	1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.Nh3	Salo Flohr	oxford-companion	574	popularised	Opocensky	entry	Flohr Variation, 33 and 44 in the ENGLISH OPENING, the first recommended by ALEKHINE in 1 926 as a refutation of 2 NB, the second introduced by NIMZOWITSCH and taken up successfully by FLOHR in 1 933; 72 in the QUEEN'S GAMBIT ACCEPTED, played by Flohr against RESHEVSKY at Nottingham 1 936 ('seems to rehabilitate the entire line of defence' -Alekhine): 376 and 379 in the GRUNFELD DEFENCE; 466 in the SICILIAN DEFENCE, played by Flohr several times at Nottingham and Moscow in 1 936; 574 in the CARO- KANN DEFENrE, an idea of OPOCENSKY's played twice by Flohr at Moscow 1935: 1 27 1 in the ALEKHINE 
C.KPO.Kgt.MLn.g3	King's Knight Opening Main Line, g3	Konstantinopolsky Opening	1.e4 e5 2.Nf3 Nc6 3.g3	Alexander Konstantinopolsky	oxford-companion	1013	originated	none	entry	Konstantinopolsky Opening, 1 0 1 3, introduced to master play in the game Konstantinopolsky-Ragozin, team championship, Moscow 1 956.
C.Ita.Evn.Acc.Stn.d4.b5	Evans Accepted Steinitz d4, b5	Leonhardt Variation	1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 5.c3 Ba5 6.d4 b5	Paul Saladin Leonhardt	oxford-companion				no-entry	
C.Ita.Two.Max	Italian Two Knights, Max Lange Attack	Max Lange Attack	1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d4 exd4 5.0-0 Bc5 6.e5	Max Lange	oxford-companion				no-entry	
A.Mie	Mieses Opening	Mieses Opening	1.d3	Jacques Mieses	oxford-companion	47	unclear	none	entry	Mieses Opening, 47, played by BODEN in the 1 850s and by MIESES in his match against TEICHMANN, 1 9 1 0; in Spain it is called the Valencia Opening.
B.OwM	Owen's Modern (...b6 vs e4)	Owen's Defense	1.e4 b6	John Owen	oxford-companion	443	popularised	none	entry	Owen Defence, 443, the QUEEN'S FIANCHETTO DEFENCE, which OWEN played frequently in the 1 9th century. He often defended any opening by 1 . . .  b6 or 1 . . .  g6 and as often began a game by 1 b3 or 1 g3 .
