ocn1	canonical_name	wikipedia_name	person	people_raw	wikipedia_article	moves_san	moves_uci	source_tier	evidence_grade	already_attributed	citation
E.Bud.Alk.Nxe5.f4.Nec6	Budapest Alekhine, Abonyi Variation	Abonyi Variation of the Budapest Gambit	István Abonyi	István Abonyi	István Abonyi	1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.e4 Nxe5 5.f4 Nec6	d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 e2e4 g4e5 f2f4 e5c6	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessplayer?pid=84291|title=The chess games of Istvan Abonyi|publisher=[[ChessGames.com]]|accessdate=2009-10-26}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Naj.Adm	Sicilian Najdorf, Adams Attack	Adams Attack of the Sicilian Defence	Weaver W. Adams	Weaver W. Adams	Weaver W. Adams	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.h3	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 h2h3	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/Sicilian-Defense-Open-Najdorf-Adams-Attack|title=Sicilian Defense: Najdorf Variation, Adams Attack (B90)|publisher=Chess.com|accessdate=2022-08-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Bud.Adl	Budapest, Adler Variation	Adler Variation of the Budapest Gambit	Mór Adler	Mór Adler	Mór Adler	1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.Nf3	d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 g1f3	web	attested		<ref>{{cite web|url=https://www.chessgames.com/perl/chessgame?gid=1503218|title=Adler vs Geza Maroczy, Budapest 1896, Budapest Defense: Adler Variation (A52)|publisher=ChessGames.com|accessdate=2024-03-10}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KPO.Ne2	King's Pawn Game, Alapin Opening	Alapin's Opening	Semyon Alapin	Semyon Alapin	Semyon Alapin	1.e4 e5 2.Ne2	e2e4 e7e5 g1e2	web	attested		<ref>{{cite web|url=http://www.365chess.com/opening.php?m=4&n=355&ms=e4.e5.Ne2|title=Chess Opening explorer: C20 Alapin's opening – 1. e4 e5 2. Ne2|publisher=365Chess.com|accessdate=2009-10-26}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Sic.Alp	Sicilian Alapin	Alapin Variation of the Sicilian Defence	Semyon Alapin	Semyon Alapin	Semyon Alapin	1.e4 c5 2.c3	e2e4 c7c5 c2c3	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessopening?eco=b22|title=Chess openings Sicilian, Alapin (B22)|publisher=ChessGames.com|accessdate=2009-10-26}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
D.Alb	Albin Counter-Gambit	Albin Countergambit	Adolf Albin	Adolf Albin	Adolf Albin	1.d4 d5 2.c4 e5	d2d4 d7d5 c2c4 e7e5	encyclopaedia	attested		<ref name="Sunnucks">{{citation | last=Sunnucks | first=Anne | year=1970 | title=Encyclopaedia of Chess | publisher=St. Martin's Press | place=New York |isbn=978-0-7091-4697-1 }}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Ale.Mod.KID	Alekhine Modern, King's Indian Variation	Alburt Variation of the Alekhine's Defence	Lev Alburt	Lev Alburt	Lev Alburt	1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 g6	e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 g1f3 g7g6	web	attested		<ref>{{cite web|url=http://www.chessbase.com/espanola/shop/product.asp?pid=498 |title=ChessBase Magazine 132 |publisher=ChessBase |accessdate=2009-10-27 |url-status=dead |archiveurl=https://web.archive.org/web/20091002015141/http://www.chessbase.com/espanola/shop/product.asp?pid=498 |archivedate=200 -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Fre.Cls.MLn.ACh	French Classical, Alekhine-Chatard Attack	Alekhine	Alexander Alekhine	Alexander Alekhine and Eugene Chatard	Alexander Alekhine	1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 5.e5 Nfd7 6.h4	e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4	web	attested		<ref>{{cite web|url=https://www.chess.com/openings/French-Defense-Main-Line-Alekhine-Chatard-Attack|title=ECO C13}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
B.Ale	Alekhine Defence	Alekhine's Defence	Alexander Alekhine	Alexander Alekhine	Alexander Alekhine	1.e4 Nf6	e2e4 g8f6	encyclopaedia	attested	yes	<ref name="Sunnucks"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
E.Bud.Alk	Budapest, Alekhine Variation	Alekhine Variation of the Budapest Gambit	Alexander Alekhine	Alexander Alekhine	Alexander Alekhine	1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.e4	d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 e2e4	web	attested		<ref name="WCCF">{{cite web|url=http://www.ewccf.com/eco.htm |title=ECO classification |publisher=World Correspondence Chess Federation |accessdate=2009-10-27 |url-status=dead |archiveurl=https://web.archive.org/web/20090419195143/http://www.ewccf.com/eco.htm |archivedate=2009-04-19 }}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Acc.All	King's Gambit Accepted, Allgaier	Allgaier Gambit of the King's Gambit	Johann Baptist Allgaier	Johann Baptist Allgaier	Johann Baptist Allgaier	1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ng5	e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 h2h4 g5g4 f3g5	web	attested	yes	<ref name="WCCF"/> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.Ama	Amar Opening	Amar Opening	Charles Amar	Charles Amar		1.Nh3	g1h3	oxford-companion	attested		{{sfn|Hooper|Whyld|1992|p=13}} <ref>{{cite web|url=http://www.chessgames.com/perl/chessplayer?pid=12940|title=Charles Amar |publisher=ChessGames.com|accessdate=2024-03-10}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
A.And	Anderssen's Opening	Anderssen's Opening	Adolf Anderssen	Adolf Anderssen	Adolf Anderssen	1.a3	a2a3	web	attested		<ref>{{cite web|url=http://www.chessgames.com/perl/chessgame?gid=1019039|title=Adolf Anderssen vs. Paul Morphy, Anderssen Opening: General (A00)|publisher=ChessGames.com|accessdate=2009-10-27}}</ref> -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
