ocn1	canonical_name	wikipedia_name	place	relation	moves_san	moves_uci	source_tier	evidence_grade	already_attributed	citation
B.Nim.ScD.exd5.Nb4	Nimzowitsch Scandinavian, Aachen Gambit	Aachen Gambit of the Nimzowitsch Defense	Aachen	named-after-place	1.e4 Nc6 2.d4 d5 3.exd5 Nb4	e2e4 b8c6 d2d4 d7d5 e4d5 c6b4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Van.d5.e4.dxe4.Bc4	Van Geet Opening, Hector Gambit	Aasum Gambit of the Dunst Opening	Aasum	alias-candidate	1.Nc3 d5 2.e4 dxe4 3.Bc4	b1c3 d7d5 e2e4 d5e4 f1c4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
C.KGm.Acc.Nf3.Mod	King's Gambit Accepted, Modern Defence	Abbazia Defense of the King's Gambit	Abbazia	alias-candidate	1.e4 e5 2.f4 exf4 3.Nf3 d5	e2e4 e7e5 f2f4 e5f4 g1f3 d7d5	web	attested		<ref>[http://www.chess.com/chessopedia/view/abbazia-defense Abbazia Defense]{{Webarchive |url=https://web.archive.org/web/20141018151356/http://www.chess.com/chessopedia/view/abbazia-defense |date=2014-10-18 }} from chess.com. The name 'Abbazia' comes from the Abbazia 1912 tournament in which the va -- cited by Wikipedia, 'List of chess openings named after people'; not independently checked
C.KGm.Nc6.Nf3.f5	King's Gambit Declined, Miles Defence	Adelaide Countergambit of the King's Gambit	Adelaide	alias-candidate	1.e4 e5 2.f4 Nc6 3.Nf3 f5	e2e4 e7e5 f2f4 b8c6 g1f3 f7f5	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Eng.Agi	English Opening, Agincourt Defence	Agincourt Defense of the English Opening	Agincourt	named-after-place	1.c4 e6	c2c4 e7e6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.QPG.c4	Queen's Gambit, c4	Aleppo Gambit, synonym of the Queen's Gambit	Aleppo	alias-candidate	1.d4 d5 2.c4	d2d4 d7d5 c2c4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
D.QPG.Ama	Amazon Attack	Amazon Attack of the Queen's Pawn Opening	Amazon	named-after-place	1.d4 d5 2.Qd3	d2d4 d7d5 d1d3	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
A.Hol.Sta.fxe4.Nd2	Dutch Staunton Accepted, American Attack	American Attack of the Dutch Defense, variation of the Staunton Gambit	American	named-after-place	1.d4 f5 2.e4 fxe4 3.Nd2	d2d4 f7f5 e2e4 f5e4 b1d2	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Tay.Nc3.Nf6.Ndb5.Bb4	Taimanov Four Knights, American Attack	American Attack of the Sicilian Defense, Taimanov Variation	American	named-after-place	1.e4 c5 2.Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Nf6 6. Ndb5 Bb4 7. Nd6+	e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 b8c6 b1c3 g8f6 d4b5 f8b4 b5d6	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
B.Sic.Naj.f4	Sicilian Najdorf, Amsterdam Variation	Amsterdam Variation of the Sicilian Defense, Najdorf Variation	Amsterdam	named-after-place	1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.f4	e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6 f2f4	none	traditional		no source cited in Wikipedia's list of chess openings named after people; recorded as traditional usage only
