ocn1	relation	subject_type	subject_id	date	games	source_ref	evidence_grade	note
A.Ama.Par	named-after-place	place	paris			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Amar Opening, Paris Gambit' carries 'Paris'
A.Ama.Par.Gen	named-after-place	place	gent			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Amar Paris Gambit, Gent Gambit' carries 'Gent'
A.And.Pol	named-after-place	place	polish			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Anderssen's Opening, Polish Gambit' carries 'Polish'
A.Aus	named-after-place	place	australian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Australian Defence' carries 'Australian'
A.EID	named-after-place	place	east-indian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'East Indian Defence' carries 'East Indian'
A.Egl.Har.Sto	named-after-place	place	stockholm			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Englund Hartlaub-Charlick, Stockholm Variation' carries 'Stockholm'
A.Eng	named-after-place	place	english			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'English Opening' carries 'English'
A.Eng.Agi	named-after-place	place	agincourt			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'English Opening, Agincourt Defence' carries 'Agincourt'
A.Eng.Rev.Nc3.Nc6.g3.Rb1	named-after-place	place	hungarian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'English Closed, Hungarian Attack' carries 'Hungarian'
A.Eng.Rev.e3.Nf6.f4.Nf3	named-after-place	place	kahiko-hula			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'English Reversed Sicilian Kahiko-Hula, Nf3' carries 'Kahiko-Hula'
A.Hng	named-after-place	place	hungarian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Hungarian Opening' carries 'Hungarian'
A.Hol	named-after-place	place	dutch			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Dutch Defence' carries 'Dutch'
A.Hol.Fch.g6	named-after-place	place	leningrad			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Dutch Fianchetto, Leningrad Prefix' carries 'Leningrad'
A.Hol.Sta.fxe4.Nd2	named-after-place	place	american			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Dutch Staunton Accepted, American Attack' carries 'American'
A.Lar.d5.Ba3	named-after-place	place	graz			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Larsen Classical, Graz Attack' carries 'Graz'
A.Lar.f5	named-after-place	place	dutch			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Larsen Attack, Dutch Variation' carries 'Dutch'
A.Mie.ReR.Val	named-after-place	place	valencia			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Mieses Reversed Rat, Valencia Opening' carries 'Valencia'
A.Mie.Ven	named-after-place	place	venezolana			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Mieses Opening, Venezolana Variation' carries 'Venezolana'
A.Mik.Mon	named-after-place	place	montevideo			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Mikėnas Defence, Montevideo' carries 'Montevideo'
A.Mik.Zai	named-after-place	place	zaire			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Mikėnas Defence, Zaire' carries 'Zaire'
A.OID.e5.dxe5.Nc6	named-after-place	place	lisbon			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Old Indian English Rat, Lisbon Gambit' carries 'Lisbon'
A.Pol	named-after-place	place	polish			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Polish Opening' carries 'Polish'
A.Pol.Bal	named-after-place	place	baltic			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Polish Opening, Baltic Defence' carries 'Baltic'
A.Pol.Bhm	named-after-place	place	birmingham			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Polish Opening, Birmingham Gambit' carries 'Birmingham'
A.Pol.Cen.Bb2.Qd6	named-after-place	place	german			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Polish Central, German Defence' carries 'German'
A.Pol.Cze	named-after-place	place	czech			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Polish Opening, Czech Defence' carries 'Czech'
A.QPO.Nf6.Nf3.b5	named-after-place	place	polish			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Queen's Pawn Indian Knights, Polish Variation' carries 'Polish'
A.Ret.Nf6.b4	named-after-place	place	polish			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Polish Opening, Zukertort System' carries 'Polish'
A.Ret.f5	named-after-place	place	dutch			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Zukertort Opening, Dutch Variation' carries 'Dutch'
A.Ret.f6	named-after-place	place	arctic			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Zukertort Opening, Arctic Defence' carries 'Arctic'
A.Sar	named-after-place	place	saragossa			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Saragossa Opening' carries 'Saragossa'
A.Van.c5.b4	named-after-place	place	dusseldorf			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Van Geet c5, Düsseldorf Gambit' carries 'Düsseldorf'
A.War.b6.d4.d5.Nc3.Nd7	named-after-place	place	cologne			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Ware Cologne Gambit, Nd7' carries 'Cologne'
B.Ale.Brk	named-after-place	place	brooklyn			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Alekhine Defence, Brooklyn Variation' carries 'Brooklyn'
B.Ale.Exc.Vor	named-after-place	place	voronezh			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Alekhine Exchange, Voronezh Variation' carries 'Voronezh'
B.Ale.Fou.g5	named-after-place	place	cambridge			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Alekhine Four Pawns, Cambridge Gambit' carries 'Cambridge'
B.CaK.Dpn.Mdn.Edn	named-after-place	place	edinburgh			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Modern Variation, Edinburgh Variation' carries 'Edinburgh'
B.CaK.Dpn.Mss	named-after-place	place	massachusetts			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Caro-Kann, Massachusetts Defence' carries 'Massachusetts'
B.Fre	named-after-place	place	french			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'French Defence' carries 'French'
B.Fre.Cls.Bd3	named-after-place	place	swiss			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'French Classical, Swiss Variation' carries 'Swiss'
B.Fre.Cls.MLn.e5.Ng8.Be3	named-after-place	place	frankfurt			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'French Classical Vistaneckis, Frankfurt Variation' carries 'Frankfurt'
B.Fre.Exc.Mon	named-after-place	place	monte-carlo			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'French Exchange, Monte Carlo Variation' carries 'Monte Carlo'
B.Fre.Nrm.Nf6	named-after-place	place	mediterranean			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'French Defence, Mediterranean Defence' carries 'Mediterranean'
B.Fre.Win.Arm.b4	named-after-place	place	armenian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'French Winawer Armenian, b4 Line' carries 'Armenian'
B.Mod.Dpn.Nf6	named-after-place	place	norwegian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Modern Defence, Norwegian Defence' carries 'Norwegian'
B.Mod.Dpn.Nf6.Nor	named-after-place	place	norwegian			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Norwegian Defence, Norwegian Gambit' carries 'Norwegian'
B.Nim.Col	named-after-place	place	colorado			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Nimzowitsch Defence, Colorado Countergambit' carries 'Colorado'
B.Nim.ScD.exd5.Nb4	named-after-place	place	aachen			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Nimzowitsch Scandinavian, Aachen Gambit' carries 'Aachen'
B.Pir.Be2.g4	named-after-place	place	chinese			Wikipedia, 'List of chess openings named after places'; the opening was tied to this catalogue row by move sequence, and the catalogue's own name carries the place	attested	catalogue name 'Pirc Be2, Chinese Variation' carries 'Chinese'
