person_id	display_name	wikidata_qid	born	died	note
adams	Adams, Michael	Q299636	1971		seen in world championship games; identity confirmed against Wikidata by playing dates
alekhine	Alekhine, Alexander	Q131374	1892	1946	seen in world championship games; identity confirmed against Wikidata by playing dates
aljechin	Aljechin, Yuri	Q131374	1892	1946	seen in world championship games; identity confirmed against Wikidata by playing dates
anand	Anand, Viswanathan	Q45747	1969		seen in world championship games; identity confirmed against Wikidata by playing dates
bikova	Bikova, E.				seen in world championship games; identity unverified
bogoljubow	Bogoljubow, Efim	Q57310	1889	1952	seen in world championship games; identity confirmed against Wikidata by playing dates
botvinnik	Botvinnik, Mikhail	Q178865	1911	1995	seen in world championship games; identity confirmed against Wikidata by playing dates
bronstein	Bronstein, David I	Q312908	1924	2006	seen in world championship games; identity confirmed against Wikidata by playing dates
bykova	Bykova, Elizaveta	Q253772	1913	1989	seen in world championship games; identity confirmed against Wikidata by playing dates
capablanca	Capablanca, Jose	Q160702	1888	1942	seen in world championship games; identity confirmed against Wikidata by playing dates
carlsen	Carlsen, Magnus	Q106807	1990		seen in world championship games; identity confirmed against Wikidata by playing dates
caruana	Caruana, Fabiano	Q367277	1992		seen in world championship games; identity confirmed against Wikidata by playing dates
ding	Ding, Liren	Q1191198	1992		seen in world championship games; identity confirmed against Wikidata by playing dates
euwe	Euwe, Max	Q173714	1901	1981	seen in world championship games; identity confirmed against Wikidata by playing dates
fischer	Fischer, Robert J	Q41314	1943	2008	seen in world championship games; identity confirmed against Wikidata by playing dates
forgacs	Forgacs, Leo	Q934474	1881	1930	seen in world championship games; identity confirmed against Wikidata by playing dates
galliamova	Galliamova, Alisa	Q466286	1972		seen in world championship games; identity confirmed against Wikidata by playing dates
gaprindashvili	Gaprindashvili, Nona	Q231630	1941		seen in world championship games; identity confirmed against Wikidata by playing dates
gelfand	Gelfand, Boris	Q486778	1968		seen in world championship games; identity confirmed against Wikidata by playing dates
goryachkina	Goryachkina, Aleksandra	Q4146345	1998		seen in world championship games; identity confirmed against Wikidata by playing dates
gukesh-d	Gukesh D	Q56026072	2006		seen in world championship games; identity confirmed against Wikidata by playing dates
gulko	Gulko, Boris	Q893658	1947		seen in world championship games; identity confirmed against Wikidata by playing dates
gunsberg	Gunsberg, Isidor	Q357796	1854	1930	seen in world championship games; identity confirmed against Wikidata by playing dates
hou	Hou, Yifan(HLJ)	Q234011	1994		seen in world championship games; identity confirmed against Wikidata by playing dates
ioseliani	Ioseliani, Nana	Q259851	1962		seen in world championship games; identity confirmed against Wikidata by playing dates
ivanchuk	Ivanchuk, Vasyl	Q208229	1969		seen in world championship games; identity confirmed against Wikidata by playing dates
ju	Ju, Wenjun	Q468045	1991		seen in world championship games; identity confirmed against Wikidata by playing dates
kamsky	Kamsky, Gata	Q315155	1974		seen in world championship games; identity confirmed against Wikidata by playing dates
karjakin	Karjakin, Sergey	Q217198	1990		seen in world championship games; identity confirmed against Wikidata by playing dates
karpov	Karpov, Aleksandr				seen in world championship games; identity unverified
kasparov	Kasparov, Garry	Q28614	1963		seen in world championship games; identity confirmed against Wikidata by playing dates
koneru	Koneru, Humpy	Q255044	1987		seen in world championship games; identity confirmed against Wikidata by playing dates
korchnoi	Korchnoi, Viktor	Q212889	1931	2016	seen in world championship games; identity confirmed against Wikidata by playing dates
kramnik	Kramnik, Vladimir	Q161092	1975		seen in world championship games; identity confirmed against Wikidata by playing dates
kushnir-aleksandr	Kushnir Aleksandr				seen in world championship games; identity unverified
lasker	Lasker, Emanuel	Q57095	1868	1941	seen in world championship games; identity confirmed against Wikidata by playing dates
lei	Lei, Tingjie	Q16845654	1997		seen in world championship games; identity confirmed against Wikidata by playing dates
leko	Leko, Peter	Q210922	1979		seen in world championship games; identity confirmed against Wikidata by playing dates
marshall-viele	Marshall Viele, Fabrizio Aaron				seen in world championship games; identity unverified
morrison	Morrison, John				seen in world championship games; identity unverified
muzychuk	Muzychuk, Mariya	Q439881	1992		seen in world championship games; identity confirmed against Wikidata by playing dates
nepomniachtchi	Nepomniachtchi, Ian	Q521817	1990		seen in world championship games; identity confirmed against Wikidata by playing dates
petrosian	Petrosian, Tigran V	Q180636	1929	1984	seen in world championship games; identity confirmed against Wikidata by playing dates
polgar	Polgar, Susan	Q12823	1969		seen in world championship games; identity confirmed against Wikidata by playing dates
ponomariov	Ponomariov, Ruslan	Q207723	1983		seen in world championship games; identity confirmed against Wikidata by playing dates
romanishin	Romanishin, Oleg M	Q1346918	1952		seen in world championship games; identity confirmed against Wikidata by playing dates
ruan	Ruan, Lufei	Q385149	1987		seen in world championship games; identity confirmed against Wikidata by playing dates
rubtsova	Rubtsova, Olga	Q254159	1909	1994	seen in world championship games; identity confirmed against Wikidata by playing dates
short	Short, Nigel D	Q313778	1965		seen in world championship games; identity confirmed against Wikidata by playing dates
smyslov	Smyslov, Vladimir	Q104148	1921	2010	seen in world championship games; identity confirmed against Wikidata by playing dates
spassky	Spassky, Boris Vasily	Q177310	1937	2025	seen in world championship games; identity confirmed against Wikidata by playing dates
steinitz	Steinitz, Wilhelm	Q102648	1836	1900	seen in world championship games; identity confirmed against Wikidata by playing dates
tal	Tal, Mikhail	Q102664	1936	1992	seen in world championship games; identity confirmed against Wikidata by playing dates
tan	Tan, Zhongyi	Q7682163	1991		seen in world championship games; identity confirmed against Wikidata by playing dates
tarrasch	Tarrasch, Siegbert	Q76558	1862	1934	seen in world championship games; identity confirmed against Wikidata by playing dates
timman	Timman, Jan H	Q139438	1951	2026	seen in world championship games; identity confirmed against Wikidata by playing dates
tiviakov	Tiviakov, Sergei	Q710938	1973		seen in world championship games; identity confirmed against Wikidata by playing dates
topalov	Topalov, Veselin	Q172798	1975		seen in world championship games; identity confirmed against Wikidata by playing dates
xie	Xie, Jun	Q255142	1970		seen in world championship games; identity confirmed against Wikidata by playing dates
zukertort	Zukertort, Johannes	Q60182	1842	1888	seen in world championship games; identity confirmed against Wikidata by playing dates
zvorykina	Zvorykina, K.				seen in world championship games; identity unverified
