ocn1	canonical_name	relation	renamed_from	renamed_to	date	author	commit	commit_subject	source_ref	evidence_grade
A.Kad	Kádas Opening	renamed	Kadas Opening	Kádas Opening	2022-02-26	Niklas Fiekas	5685801f8	Kadas -> Kádas	https://github.com/lichess-org/chess-openings/commit/5685801f8	attested
A.Kad.c5.b4	Kádas Opening, Kádas Gambit	renamed	Kadas Opening: Kadas Gambit	Kádas Opening: Kádas Gambit	2022-02-26	Niklas Fiekas	5685801f8	Kadas -> Kádas	https://github.com/lichess-org/chess-openings/commit/5685801f8	attested
A.Kad.e5.d4.exd4.c3	Kádas Gambit, c3	renamed	Kadas Opening: Kadas Gambit	Kádas Opening: Kádas Gambit	2022-02-26	Niklas Fiekas	5685801f8	Kadas -> Kádas	https://github.com/lichess-org/chess-openings/commit/5685801f8	attested
A.Lar.b5	Larsen Attack, Polish Variation	renamed	Nimzowitsch-Larsen Attack: Polish Variation	Nimzo-Larsen Attack: Polish Variation	2022-03-14	Dave Cole	66438186e	Make Nimzo-Larsen Attack naming consistent	https://github.com/lichess-org/chess-openings/commit/66438186e	attested
B.Nim.Col	Nimzowitsch Defence, Colorado Countergambit	renamed	Nimzowitsch Defense: Lean Variation	Nimzowitsch Defense: Colorado Countergambit	2022-05-28	fynsta	62e93020c	Some Nimzowitsch Defense fixes	https://github.com/lichess-org/chess-openings/commit/62e93020c	attested
B.Nim.Col.Acc	Nimzowitsch Colorado, Accepted	renamed	Nimzowitsch Defense: Lean Variation, Colorado Counter Accepted	Nimzowitsch Defense: Colorado Countergambit	2022-05-28	fynsta	62e93020c	Some Nimzowitsch Defense fixes	https://github.com/lichess-org/chess-openings/commit/62e93020c	attested
B.Nim.Dpn	Nimzowitsch Defence, 2.d4	renamed	King's Pawn Game: Nimzowitsch Defense	Nimzowitsch Defense	2022-05-28	fynsta	62e93020c	Some Nimzowitsch Defense fixes	https://github.com/lichess-org/chess-openings/commit/62e93020c	attested
C.KPO.Kgt.MLn.Be2.Nf6.d4	King's Knight Opening Be2 Nf6, d4	renamed	Tayler Opening	King's Pawn Game: Tayler Opening	2022-05-28	Chathulanka Gamage	3764ce700	normalize tayler opening name (#40)	https://github.com/lichess-org/chess-openings/commit/3764ce700	attested
C.KGm.g5	King's Gambit Declined, Zilbermints Double Countergambit	renamed	King's Gambit: Zilbermints Double Countergambit	King's Gambit Declined: Zilbermints Double Countergambit	2022-06-26	Fynn Starke	be4a35dbe	Fixes #46	https://github.com/lichess-org/chess-openings/commit/be4a35dbe	attested
D.Bgm	Blackmar-Diemer Gambit	renamed	Blackmar Gambit	Blackmar-Diemer Gambit	2022-06-26	Fynn Starke	be4a35dbe	Fixes #46	https://github.com/lichess-org/chess-openings/commit/be4a35dbe	attested
D.QGD.Exc.Bg5.Be7.e3.O-O	QGD Exchange Chameleon, Castled Line	renamed	Queen's Gambit Declined: Exchange, Chameleon Variation	Queen's Gambit Declined: Exchange Variation, Chameleon Variation	2022-06-26	Fynn Starke	be4a35dbe	Fixes #46	https://github.com/lichess-org/chess-openings/commit/be4a35dbe	attested
C.KGm.Acc.MKe	King's Gambit Accepted, Mason-Keres Gambit	renamed	Van Geet Opening: Nowokunski Gambit	King's Gambit Accepted: Mason-Keres Gambit	2022-07-14	cmgchess	6432832d6	seperate entry for C33 KGA Mason-Keres Gambit #52	https://github.com/lichess-org/chess-openings/commit/6432832d6	attested
D.QPG.Lon	Queen's Pawn Game, Accelerated London	renamed	Queen's Pawn Game: Mason Variation	Queen's Pawn Game: Accelerated London System	2022-07-17	Niklas Fiekas	e676c7f8f	apply lichess-org/scalachess#300	https://github.com/lichess-org/chess-openings/commit/e676c7f8f	attested
C.Ita.Nd4	Italian Game, Blackburne-Kostić Gambit	renamed	Italian Game: Schilling-Kostic Gambit	Italian Game: Blackburne-Kostić Gambit	2022-08-26	Niklas Fiekas	6d17b857f	Kostic -> Kostić, tweak Blackburne Shilling Gambit (fixes #57)	https://github.com/lichess-org/chess-openings/commit/6d17b857f	attested
