ocn1	relation	subject_type	subject_id	date	games	source_ref	evidence_grade	note
E.Bud.Alk.Nxe5.f4.Nec6	named-after-person	person	abonyi			Wikipedia, 'István Abonyi'; cited there to http://www.chessgames.com/perl/chessplayer?pid=84291	attested	catalogue name 'Budapest Alekhine, Abonyi Variation' carries this person's name
B.Sic.Naj.Adm	named-after-person	person	adams-weaver			Wikipedia, 'Weaver W. Adams'; cited there to https://www.chess.com/openings/Sicilian-Defense-Open-Najdorf-Adams-Attack	attested	catalogue name 'Sicilian Najdorf, Adams Attack' carries this person's name
E.Bud.Adl	named-after-person	person	adler			Wikipedia, 'Mór Adler'; cited there to https://www.chessgames.com/perl/chessgame?gid=1503218	attested	catalogue name 'Budapest, Adler Variation' carries this person's name
C.KPO.Ne2	named-after-person	person	alapin			Wikipedia, 'Semyon Alapin'; cited there to http://www.365chess.com/opening.php?m=4&n=355&ms=e4.e5.Ne2	attested	catalogue name 'King's Pawn Game, Alapin Opening' carries this person's name
B.Sic.Alp	named-after-person	person	alapin			Wikipedia, 'Semyon Alapin'; cited there to http://www.chessgames.com/perl/chessopening?eco=b22	attested	catalogue name 'Sicilian Alapin' carries this person's name
D.Alb	named-after-person	person	albin			Wikipedia, 'Adolf Albin'	attested	catalogue name 'Albin Counter-Gambit' carries this person's name
B.Ale.Mod.KID	named-after-person	person	alburt			Wikipedia, 'Lev Alburt'; cited there to http://www.chessbase.com/espanola/shop/product.asp?pid=498	attested	catalogue name 'Alekhine Modern, King's Indian Variation' carries this person's name
B.Fre.Cls.MLn.ACh	named-after-person	person	alekhine			Wikipedia, 'Alexander Alekhine'; cited there to https://www.chess.com/openings/French-Defense-Main-Line-Alekhine-Chatard-Attack	attested	catalogue name 'French Classical, Alekhine-Chatard Attack' carries this person's name
B.Ale	named-after-person	person	alekhine			Wikipedia, 'Alexander Alekhine'	attested	catalogue name 'Alekhine Defence' carries this person's name
E.Bud.Alk	named-after-person	person	alekhine			Wikipedia, 'Alexander Alekhine'; cited there to http://www.ewccf.com/eco.htm	attested	catalogue name 'Budapest, Alekhine Variation' carries this person's name
C.KGm.Acc.All	named-after-person	person	allgaier			Wikipedia, 'Johann Baptist Allgaier'	attested	catalogue name 'King's Gambit Accepted, Allgaier' carries this person's name
A.Ama	named-after-person	person	amar			Wikipedia; cited there to http://www.chessgames.com/perl/chessplayer?pid=12940	attested	catalogue name 'Amar Opening' carries this person's name
A.And	named-after-person	person	anderssen			Wikipedia, 'Adolf Anderssen'; cited there to http://www.chessgames.com/perl/chessgame?gid=1019039	attested	catalogue name 'Anderssen's Opening' carries this person's name
B.CaK.Adv.Bot	named-after-person	person	arkell			Wikipedia, 'Keith Arkell; Igor Khenkin'	attested	catalogue name 'Caro-Kann Advance, Botvinnik-Carls' carries this person's name
B.CaK.Adv.Bot	named-after-person	person	khenkin			Wikipedia, 'Keith Arkell; Igor Khenkin'	attested	catalogue name 'Caro-Kann Advance, Botvinnik-Carls' carries this person's name
E.KID.Avk	named-after-person	person	averbakh			Wikipedia, 'Yuri Averbakh'	attested	catalogue name 'KID, Averbakh' carries this person's name
B.Rat.Bal	named-after-person	person	balogh			Wikipedia, 'János Balogh (chess player)'; cited there to http://www.chesscafe.com/text/kaiss13.pdf	attested	catalogue name 'Rat Defence, Balogh' carries this person's name
