ocn1	white	white_elo	black	black_elo	year	result	lichess_id	url
A.Eng	Carlsen, Magnus	2863	Caruana, Fabiano	2835	2020	1/2-1/2	51EhMpIT	https://lichess.org/51EhMpIT
A.Eng	Carlsen, Magnus	2863	Caruana, Fabiano	2835	2020	1-0	hhaSI6SI	https://lichess.org/hhaSI6SI
A.Eng	Carlsen, M.	2876	Caruana, F.	2812	2019	1/2-1/2	1OdQ8CAQ	https://lichess.org/1OdQ8CAQ
A.Eng	Carlsen, M.	2882	Ding Liren	2805	2019	1-0	4DFmQ2ev	https://lichess.org/4DFmQ2ev
A.Eng.Sym	Carlsen, Magnus	2872	Kramnik, Vladimir	2810	2013	1/2-1/2	X5SOdQhT	https://lichess.org/X5SOdQhT
A.Eng.Sym	Carlsen, Magnus	2868	Topalov, Veselin	2793	2013	1/2-1/2	JNf4bkVj	https://lichess.org/JNf4bkVj
A.Eng.Sym	Carlsen, M.	2872	Vachier Lagrave, M.	2780	2019	1/2-1/2	izDMPoOm	https://lichess.org/izDMPoOm
A.Eng.Sym	Vachier Lagrave, M.	2780	Carlsen, M.	2861	2019	1-0	WZR4g5So	https://lichess.org/WZR4g5So
A.Eng.Rev	Carlsen, Magnus	2863	Caruana, Fabiano	2835	2020	1/2-1/2	51EhMpIT	https://lichess.org/51EhMpIT
A.Eng.Rev	Carlsen, Magnus	2863	Caruana, Fabiano	2835	2020	1-0	hhaSI6SI	https://lichess.org/hhaSI6SI
A.Eng.Rev	Carlsen, M.	2876	Caruana, F.	2812	2019	1/2-1/2	1OdQ8CAQ	https://lichess.org/1OdQ8CAQ
A.Eng.Rev	Carlsen, M.	2875	Ding Liren	2805	2019	1/2-1/2	fV925IT4	https://lichess.org/fV925IT4
A.Hol	Aronian, Levon	2813	Carlsen, Magnus	2862	2013	1/2-1/2	wj8ECbQq	https://lichess.org/wj8ECbQq
A.Hol	Caruana, F.	2802	Carlsen, M.	2863	2015	0-1	YSvU3Ibw	https://lichess.org/YSvU3Ibw
A.Hol	Anand, V.	2797	Carlsen, M.	2865	2015	0-1	Me9HfuFx	https://lichess.org/Me9HfuFx
A.Hol	Grischuk, A.	2781	Carlsen, M.	2876	2015	1-0	yiksI5er	https://lichess.org/yiksI5er
A.Hol.Lng	Caruana, Fabiano	2835	Vachier Lagrave, Maxime	2778	2020	1-0	Q4BQZWmP	https://lichess.org/Q4BQZWmP
A.Hol.Lng	Ding, Liren	2791	Nepomniachtchi, Ian	2784	2020	0-1	T0CbWmZi	https://lichess.org/T0CbWmZi
A.Hol.Lng	Vidit, S.	2726	Carlsen, M.	2847	2021	1/2-1/2	yERFDEca	https://lichess.org/yERFDEca
A.Hol.Lng	Aronian, Levon	2805	Nakamura, Hikaru	2759	2012	1-0	VAlYv84F	https://lichess.org/VAlYv84F
A.Hol.Sto	So, W.	2812	Carlsen, M.	2832	2017	0-1	AbJWxyOy	https://lichess.org/AbJWxyOy
A.Hol.Sto	Ding Liren	2799	Firouzja, Alireza	2759	2021	1/2-1/2	XLmqeLoN	https://lichess.org/XLmqeLoN
A.Hol.Sto	Van Wely, Loek	2692	Carlsen, Magnus	2835	2012	1/2-1/2	1mqK1xG4	https://lichess.org/1mqK1xG4
A.Hol.Sto	Vidit, S..	2726	Firouzja, Alireza	2759	2021	1/2-1/2	D5JwRO6a	https://lichess.org/D5JwRO6a
A.Hol.Cls	Harikrishna, P.	2726	Amin, B.	2635	2014	1-0	6kaQE7rN	https://lichess.org/6kaQE7rN
A.Hol.Cls	Kasparov, Garry	2735	Short, Nigel D	2615	1987	1-0	gdwDRRR1	https://lichess.org/gdwDRRR1
A.Hol.Cls	Malakhov, Vladimir	2690	Volkov, Sergey	2648	2007	1/2-1/2	iAyxfTmX	https://lichess.org/iAyxfTmX
A.Hol.Cls	Esipenko, Andrey	2642	Amin, B.	2683	2019	0-1	s6g3GWvX	https://lichess.org/s6g3GWvX
E.Ben	Gelfand, B.	2761	Carlsen, M.	2872	2014	0-1	ZiXqZje1	https://lichess.org/ZiXqZje1
E.Ben	So, W.	2760	Carlsen, M.	2870	2019	1/2-1/2	XUhnAEMo	https://lichess.org/XUhnAEMo
E.Ben	Yu Yangyi	2738	Carlsen, M.	2875	2019	0-1	71zMf0s6	https://lichess.org/71zMf0s6
E.Ben	Carlsen, M.	2881	Morozevich, A.	2731	2014	1/2-1/2	n6Yl7poc	https://lichess.org/n6Yl7poc
E.Ben.Mod	Topalov, Veselin	2780	Ivanchuk, Vassily	2751	2008	1/2-1/2	9y57EzAQ	https://lichess.org/9y57EzAQ
E.Ben.Mod	Carlsen, Magnus	2770	Ivanchuk, Vassily	2746	2009	1-0	fBScZEep	https://lichess.org/fBScZEep
E.Ben.Mod	Karpov, Anatoly	2770	Kamsky, Gata	2735	1996	1/2-1/2	pCzmxaM6	https://lichess.org/pCzmxaM6
E.Ben.Mod	Grischuk, A..	2777	Dubov, Daniil	2710	2021	1/2-1/2	gzL9Y2yy	https://lichess.org/gzL9Y2yy
E.Ben.Bnk	Gelfand, B.	2761	Carlsen, M.	2872	2014	0-1	ZiXqZje1	https://lichess.org/ZiXqZje1
E.Ben.Bnk	Carlsen, Magnus	2837	Bologan, Viktor	2732	2012	1-0	kR4mY2Xe	https://lichess.org/kR4mY2Xe
E.Ben.Bnk	Kramnik, Vladimir	2807	Topalov, Veselin	2743	2003	1-0	N9sx7pSk	https://lichess.org/N9sx7pSk
E.Ben.Bnk	Gelfand, Boris	2733	Carlsen, Magnus	2815	2011	0-1	OAqIpO80	https://lichess.org/OAqIpO80
E.Ben.Czk	Anand, V.	2773	Aronian, L.	2826	2014	0-1	4DV5U1ZD	https://lichess.org/4DV5U1ZD
E.Ben.Czk	Ding Liren	2801	Aronian, L.	2775	2019	1/2-1/2	r9fUj0WO	https://lichess.org/r9fUj0WO
E.Ben.Czk	Ding Liren	2801	Aronian, L.	2772	2019	1-0	yDEt8ZmG	https://lichess.org/yDEt8ZmG
E.Ben.Czk	Wang, Hao	2737	Aronian, Levon	2815	2012	1-0	FBxafSXx	https://lichess.org/FBxafSXx
A.Tro	Carlsen, Magnus	2864	Kramnik, Vladimir	2803	2013	1-0	hbMtoz7m	https://lichess.org/hbMtoz7m
A.Tro	Carlsen, M.	2832	So, W.	2815	2017	1/2-1/2	LS1xb3rL	https://lichess.org/LS1xb3rL
A.Tro	Carlsen, M.	2853	Karjakin, Sergey	2772	2016	1/2-1/2	COlw0MQ9	https://lichess.org/COlw0MQ9
A.Tro	Nakamura, Hi	2788	Carlsen, M.	2830	2023	1/2-1/2	CSa0jBmY	https://lichess.org/CSa0jBmY
