person_id	display_name	wikidata_qid	born	died	note
abonyi	Abonyi, István				eponym of Budapest Alekhine, Abonyi Variation; identity unverified
adams-weaver	Adams, Weaver				eponym of Sicilian Najdorf, Adams Attack; identity unverified
adler	Adler, Mór				eponym of Budapest, Adler Variation; identity unverified
alapin	Alapin, Semyon				eponym of King's Pawn Game, Alapin Opening; identity unverified
albin	Albin, Adolf				eponym of Albin Counter-Gambit; identity unverified
alburt	Alburt, Lev				eponym of Alekhine Modern, King's Indian Variation; identity unverified
allgaier	Allgaier, Johann				eponym of King's Gambit Accepted, Allgaier; identity unverified
amar	Amar, Charles				eponym of Amar Opening; identity unverified
anderssen	Anderssen, Adolf				eponym of Anderssen's Opening; identity unverified
arkell	Arkell, Keith				eponym of Caro-Kann Advance, Botvinnik-Carls; identity unverified
khenkin	Khenkin, Igor				eponym of Caro-Kann Advance, Botvinnik-Carls; identity unverified
averbakh	Averbakh, Yuri				eponym of KID, Averbakh; identity unverified
balogh	Balogh, János				eponym of Rat Defence, Balogh; identity unverified
barcza	Barcza, Gedeon				eponym of Réti, King's Indian Attack Setup; identity unverified
barnes	Barnes, Thomas				eponym of Barnes Opening; identity unverified
basman	Basman, Michael				eponym of Borg Defence; identity unverified
becker	Becker, Albert				eponym of King's Gambit Accepted, Becker Defence; identity unverified
lopez	López, Juan				eponym of English King's English, Bellon Gambit; identity unverified
benko	Benko, Pal				eponym of Benko / Volga Gambit; identity unverified
bird	Bird, Henry				eponym of Ruy López, Bird Variation; identity unverified
blackburne	Blackburne, Joseph				eponym of Italian Game, Blackburne-Kostić Gambit; identity unverified
blackmar	Blackmar, Armand				eponym of Blackmar-Diemer Gambit, Nc3; identity unverified
diemer	Diemer, Emil				eponym of Blackmar-Diemer Gambit, Nc3; identity unverified
bogoljubov	Bogoljubov, Efim				eponym of Bogo-Indian Defence; identity unverified
boleslavsky	Boleslavsky, Isaac				eponym of Sicilian Classical, Boleslavsky Variation; identity unverified
chesscom	Chess.com				eponym of King's Pawn Game, Bongcloud Attack; identity unverified
bonschosmolovsky	Bonsch-Osmolovsky, Mikhail				eponym of King's Gambit Accepted, Bonsch-Osmolovsky Variation; identity unverified
brentano	Brentano, Franz				eponym of Ruy López, Brentano Gambit; identity unverified
breyer	Breyer, Gyula				eponym of King's Gambit Accepted, Breyer Gambit; identity unverified
master	Master, International				eponym of King's Knight Opening, Gunderam Defence; identity unverified
camara	Câmara, Hélder				eponym of King's Knight Opening, Gunderam Defence; identity unverified
caro	Caro, Horatio				eponym of Caro-Kann Defence; identity unverified
kann	Kann, Marcus				eponym of Caro-Kann Defence; identity unverified
carrera	Carrera, Pietro				eponym of King's Gambit Accepted, Carrera Gambit; identity unverified
chekhover	Chekhover, Vitaly				eponym of Sicilian Modern, Chekhover Variation; identity unverified
chigorin	Chigorin, Mikhail				eponym of Chigorin Defence; identity unverified
clemenz	Clemenz, Hermann				eponym of Clemenz Opening; identity unverified
cochrane	Cochrane, John				eponym of Petrov, Cochrane Gambit; identity unverified
colle	Colle, Edgard				eponym of Zukertort Queen's Pawn, e3; identity unverified
colman	Colman, Eugene				eponym of Italian, Two Knights Defence, Colman Variation; identity unverified
cozio	Cozio, Carlo				eponym of Ruy López, Cozio Defence; identity unverified
cunningham	Cunningham, Alexander				eponym of King's Gambit Accepted, Cunningham Defence; identity unverified
damiano	Damiano, Pedro				eponym of Damiano Defence; identity unverified
desprez	Desprez, Marcel				eponym of Kádas Opening; identity unverified
dory	Döry, Ladislaus				eponym of Indian Defence, Doery Indian; identity unverified
dunst	Dunst, Ted				eponym of Van Geet Opening; identity unverified
duras	Duras, Oldřich				eponym of Ruy López Modern Steinitz, c4; identity unverified
durkin	Durkin, Robert				eponym of Sodium Attack; identity unverified
eisenberg	Eisenberg, Louis				eponym of King's Gambit Accepted, Eisenberg Variation; identity unverified
englund	Englund, Fritz				eponym of Englund Gambit; identity unverified
evans	Evans, William				eponym of Italian, Evans Gambit; identity unverified
fajarowicz	Fajarowicz, Sammi				eponym of Budapest, Fajarowicz Variation; identity unverified
falkbeer	Falkbeer, Ernst				eponym of King's Gambit Declined, Falkbeer; identity unverified
fleissig	Fleissig, Bernhard				eponym of Scotch Classical Schmidt, Meitner; identity unverified
flohr	Flohr, Salo				eponym of English Opening, Mikėnas-Carls; identity unverified
mikenas	Mikėnas, Vladas				eponym of English Opening, Mikėnas-Carls; identity unverified
monster	monster, Frankenstein's				eponym of Vienna Falkbeer, Main Line; identity unverified
dracula	Dracula, Count				eponym of Vienna Falkbeer, Main Line; identity unverified
from	From, Martin				eponym of Bird's Opening, From's Gambit; identity unverified
furman	Furman, Semyon				eponym of QGA Classical Main Line, Bxc5; identity unverified
gajewski	Gajewski, Grzegorz				eponym of Ruy López Chigorin, Gajewski Gambit; identity unverified
glek	Glek, Igor				eponym of KID Classical Castled, Glek; identity unverified
goglidze	Goglidze, Viktor				eponym of Anti-Grünfeld Alekhine, Goglidze Attack; identity unverified
goring	Göring, Carl				eponym of Scotch, Göring Gambit; identity unverified
grivas	Grivas, Efstratios				eponym of Old Sicilian, Godiva Variation; identity unverified
grob	Grob, Henri				eponym of Grob Opening; identity unverified
gunderam	Gunderam, Gerhard				eponym of King's Knight Opening, Gunderam Defence; identity unverified
gurgenidze	Gurgenidze, Bukhuti				eponym of Modern Defence, Gurgenidze Defence; identity unverified
gusev	Gusev, Yuri				eponym of Queen's Gambit Austrian, Gusev Countergambit; identity unverified
greco	Greco, Gioachino				eponym of King's Knight Opening, McConnell Defence; identity unverified
grunfeld	Grünfeld, Ernst				eponym of Grünfeld Defence; identity unverified
hanham	Hanham, James				eponym of Philidor Defence, Hanham Move Order; identity unverified
harrwitz	Harrwitz, Daniel				eponym of QGD Queen's Knight Normal, Harrwitz Prefix; identity unverified
hodgson	Hodgson, Julian				eponym of Levitsky Attack; identity unverified
hopton	Hopton				eponym of Dutch Defence, Hopton Attack; identity unverified
horwitz	Horwitz, Bernhard				eponym of Horwitz Defence; identity unverified
hromadka	Hromádka, Karel				eponym of Benoni Defence d5, d6; identity unverified
hubner	Hübner, Robert				eponym of Nimzo Rubinstein, c5; identity unverified
ilyingenevsky	Ilyin-Genevsky, Alexander				eponym of Dutch Classical, Ilyin-Zhenevsky; identity unverified
janowski	Janowski, Dawid				eponym of Old Indian, Janowski Variation; identity unverified
jerome	Jerome, Alonzo				eponym of Italian Giuoco Piano, Jerome Attack; identity unverified
kan	Kan, Ilya				eponym of Sicilian Kan; identity unverified
