ocn1	relation	subject_type	subject_id	date	games	source_ref	evidence_grade	note
A.Lar.b5	renamed	name	Nimzowitsch-Larsen Attack: Polish Variation	2022-03-14		lichess-org/chess-openings, pull request #33 'Change some commas to colons / make Nimzo-Larsen naming consistent' by dtpc: https://github.com/lichess-org/chess-openings/pull/33	attested	renamed to 'Nimzo-Larsen Attack: Polish Variation' on 2022-03-14
B.Nim.Col	renamed	name	Nimzowitsch Defense: Lean Variation	2022-05-28		lichess-org/chess-openings, pull request #41 'Some Nimzowitsch Defense fixes' by fynsta: https://github.com/lichess-org/chess-openings/pull/41	attested	renamed to 'Nimzowitsch Defense: Colorado Countergambit' on 2022-05-28
B.Nim.Col.Acc	renamed	name	Nimzowitsch Defense: Lean Variation, Colorado Counter Accepted	2022-05-28		lichess-org/chess-openings, pull request #41 'Some Nimzowitsch Defense fixes' by fynsta: https://github.com/lichess-org/chess-openings/pull/41	attested	renamed to 'Nimzowitsch Defense: Colorado Countergambit' on 2022-05-28
B.Nim.Dpn	renamed	name	King's Pawn Game: Nimzowitsch Defense	2022-05-28		lichess-org/chess-openings, pull request #41 'Some Nimzowitsch Defense fixes' by fynsta: https://github.com/lichess-org/chess-openings/pull/41	attested	renamed to 'Nimzowitsch Defense' on 2022-05-28
C.KPO.Kgt.MLn.Be2.Nf6.d4	renamed	name	Tayler Opening	2022-05-28		lichess-org/chess-openings, pull request #40 'remove independent C44: tayler opening' by cmgchess: https://github.com/lichess-org/chess-openings/pull/40	attested	renamed to 'King's Pawn Game: Tayler Opening' on 2022-05-28
C.KGm.g5	renamed	name	King's Gambit: Zilbermints Double Countergambit	2022-06-26		lichess-org/chess-openings, pull request #48 'Fixes #46' by fynsta: https://github.com/lichess-org/chess-openings/pull/48	attested	renamed to 'King's Gambit Declined: Zilbermints Double Countergambit' on 2022-06-26
D.Bgm	renamed	name	Blackmar Gambit	2022-06-26		lichess-org/chess-openings, pull request #48 'Fixes #46' by fynsta: https://github.com/lichess-org/chess-openings/pull/48	attested	renamed to 'Blackmar-Diemer Gambit' on 2022-06-26
D.QGD.Exc.Bg5.Be7.e3.O-O	renamed	name	Queen's Gambit Declined: Exchange, Chameleon Variation	2022-06-26		lichess-org/chess-openings, pull request #48 'Fixes #46' by fynsta: https://github.com/lichess-org/chess-openings/pull/48	attested	renamed to 'Queen's Gambit Declined: Exchange Variation, Chameleon Variation' on 2022-06-26
C.KGm.Acc.MKe	renamed	name	Van Geet Opening: Nowokunski Gambit	2022-07-14		lichess-org/chess-openings, pull request #53 'Van Geet: Nowokunski confusion' by cmgchess: https://github.com/lichess-org/chess-openings/pull/53	attested	renamed to 'King's Gambit Accepted: Mason-Keres Gambit' on 2022-07-14
D.QPG.Lon	renamed	name	Queen's Pawn Game: Mason Variation	2022-07-17		lichess-org/chess-openings, commit e676c7f8f by Niklas Fiekas: https://github.com/lichess-org/chess-openings/commit/e676c7f8f	attested	renamed to 'Queen's Pawn Game: Accelerated London System' on 2022-07-17
