lichess_id	event	site	date	round
51EhMpIT	Clutch-ch June	Lichess.org INT	2020.06.13	3.1
hhaSI6SI	Clutch-ch June	Lichess.org INT	2020.06.14	3.12
1OdQ8CAQ	FIDE Chess.com Grand Swiss	Douglas ENG	2019.10.19	9.2
4DFmQ2ev	Saint Louis Blitz 2019	Saint Louis USA	2019.08.14	13.1
X5SOdQhT	FIDE Candidates	London	2013.03.16	2
JNf4bkVj	Norway Chess	Stavanger	2013.05.08	1
izDMPoOm	11th London Classic 2019	London ENG	2019.12.04	1.8
WZR4g5So	Cote d'Ivoire Blitz 2019	Abidjan CIV	2019.05.12	11.1
fV925IT4	7th Norway Blitz 2019	Stavanger NOR	2019.06.03	2.1
wj8ECbQq	Sinquefield Cup	Saint Louis	2013.09.10	2
YSvU3Ibw	Vugar Gashimov Mem 2015	Shamkir AZE	2015.04.19	3.3
Me9HfuFx	3rd GRENKE Chess Classic	Baden Baden GER	2015.02.06	4.3
yiksI5er	3rd Norway Blitz 2015	Stavanger NOR	2015.06.15	8.5
Q4BQZWmP	Carlsen Inv Prelim	chess24.com INT	2020.04.29	6.3
T0CbWmZi	Legends of Chess Prelim	chess24.com INT	2020.07.22	2.2
yERFDEca	Aimchess US Rapid Prelim	chess24.com INT	2021.08.28	2.2
VAlYv84F	Tata Steel-A 74th	Wijk aan Zee	2012.01.15	2
AbJWxyOy	5th Norway Blitz 2017	Stavanger NOR	2017.06.05	9.1
XLmqeLoN	FTX Crypto Cup Prelim	chess24.com INT	2021.05.24	9.6
1mqK1xG4	Tata Steel-A 74th	Wijk aan Zee	2012.01.29	13
D5JwRO6a	Goldmoney Asian Prelim	chess24.com INT	2021.06.27	10.8
6kaQE7rN	FIDE World Blitz 2014	Dubai UAE	2014.06.20	17.9
gdwDRRR1	Brussels	Brussels	1987.04.14	4
iAyxfTmX	World Cup	Khanty-Mansiysk	2007.11.29	2.4
s6g3GWvX	World Blitz 2019	Moscow RUS	2019.12.30	15.28
ZiXqZje1	Zurich CC Rapid 2014	Zurich SUI	2014.02.04	1.1
XUhnAEMo	Tata Steel India Blitz	Kolkata IND	2019.11.26	18.3
71zMf0s6	7th Norway Blitz 2019	Stavanger NOR	2019.06.03	3.1
n6Yl7poc	FIDE World Blitz 2014	Dubai UAE	2014.06.20	18.2
9y57EzAQ	Corus	Wijk aan Zee	2008.01.13	2
fBScZEep	Leon 22nd	Leon	2009.06.07	2.7
pCzmxaM6	FIDE-Wch	Elista	1996.07.04	15
gzL9Y2yy	Opera Euro Rapid Prelim	chess24.com INT	2021.02.08	15.1
kR4mY2Xe	Biel GM 45th	Biel	2012.07.31	8
N9sx7pSk	Corus	Wijk aan Zee	2003.01.23	10
OAqIpO80	Amber-rapid 20th	Monte Carlo	2011.03.24	11
4DV5U1ZD	Zurich CC Rapid 2014	Zurich SUI	2014.02.04	1.2
r9fUj0WO	11th London Classic 2019	London ENG	2019.12.04	1.5
yDEt8ZmG	Tata Steel India Blitz	Kolkata IND	2019.11.26	17.2
FBxafSXx	Beijing Sportaccord blitz	Beijing	2012.12.17	15
hbMtoz7m	Tal Memorial 8th	Moscow	2013.06.13	1
LS1xb3rL	chess.com Speed 3m+2spm 2017	chess.com INT	2017.11.18	2.22
COlw0MQ9	WCh 2016	New York USA	2016.11.11	1
CSa0jBmY	CCT Final Playoff 2023	Toronto CAN	2023.12.10	4.2
cJsGI6A4	85th Tata Steel Masters	Wijk aan Zee NED	2023.01.16	3.1
oPelXIS9	Cote d'Ivoire Blitz 2019	Abidjan CIV	2019.05.12	12.3
rFDUsr9Y	Carlsen Tour Final	chess24.com INT	2020.08.09	1.16
W9375DmX	Carlsen Tour Final	chess24.com INT	2020.08.12	1.45
jownEPXs	chess.com Speed 1m+1spm 2017	chess.com INT	2017.11.18	2.34
ZPEjdsGK	GCT Rapid YourNextMove	Leuven BEL	2017.06.29	5.2
xoxeikcy	3rd Norway Blitz 2015	Stavanger NOR	2015.06.15	2.3
UJkORpA4	chess.com Speed 3m+1spm 2018	chess.com INT	2018.09.07	1.18
yvQYwASv	chess.com Speed 1m+1spm 2017	chess.com INT	2017.11.18	2.35
IOi3k1eB	Goldmoney Asian Rapid KO	chess24.com INT	2021.07.04	3.22
ACD30sjE	chess.com Blitz Final 3m+2spm 2016	chess.com INT	2016.10.27	13
N12LQaxu	Chessable Masters Winners	chess.com INT	2025.02.21	5.4
IpY1ThET	Zurich CC Rapid 2014	Zurich SUI	2014.02.04	2.3
nBtNHsCU	3rd Norway Blitz 2015	Stavanger NOR	2015.06.15	7.4
eVTBhl4K	Chessable Masters KO 2022	chess24.com INT	2022.05.24	2.11
CchXqKRa	Chessable Masters KO 2022	chess24.com INT	2022.05.24	2.13
XGd9eXYP	chess.com Speed 1m+1spm 2017	chess.com INT	2018.08.07	24
J7chx8ZZ	chess.com Speed 1m+1spm 2017	chess.com INT	2018.08.02	28
26uyPfd1	PRO League Group Stage	chess.com INT	2018.02.03	4
15DI8EFq	5th Classic GpA 2013	London ENG	2013.12.13	6.2
uWF0g6DM	FTX Crypto Cup Prelim	chess24.com INT	2021.05.24	6.3
lVMpaBqQ	FTX Crypto Cup KO 2021	chess24.com INT	2021.05.31	3.31
0CyFG6o3	FTX Crypto Cup KO 2021	chess24.com INT	2021.05.27	1.23
KD0RyRu4	chess.com Speed 3m+1spm 2018	chess.com INT	2018.09.07	1.10
boLujJkB	Saint Louis Rapid 2019	Saint Louis USA	2019.08.11	4.1
zruFgG89	Clutch-ch June	Lichess.org INT	2020.06.14	3.11
bbp4jgEb	Chessable Masters Final	chess24.com INT	2020.06.25	1.13
bMJKX8YH	Clutch-ch June	Lichess.org INT	2020.06.14	3.9
jMVMo1Ua	3rd Norway Chess 2015	Stavanger NOR	2015.06.21	5.2
vDq0pmw3	Carlsen Tour Final	chess24.com INT	2020.08.09	1.11
